# Point,Index,Time,Diss,Freq,Notes
start,4870,0.0,0.0,0.0,
fill,5012,0.5328,30.1118,231.0,
20%,5168,1.1112,74.5281,293.0,
40%,5348,1.7815,105.7032,332.0,
60%,5586,2.6781,136.994,381.0,
80%,5976,4.1563,169.7066,429.0,
ch1,7396,9.5727,201.2581,485.0,
ch2,17507,48.5585,361.7357,769.0,
ch3,23542,102.516,487.3492,1026.0,
