# Point,Index,Time,Diss,Freq,Notes
start,1634,0.0,0.0,0.0,
fill,2614,4.521,35.1878,223.0,
20%,3412,8.1994,85.0988,311.0,
40%,4763,14.4226,132.7186,408.0,
60%,6740,23.5257,180.0606,505.0,
80%,10015,38.6097,227.7612,589.0,
ch1,19617,91.4692,275.6078,701.0,
ch2,22222,331.4884,490.7427,1354.0,
ch3,25834,671.7184,604.1571,1853.0,
