Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Class,Difference,Pooling
2023-10-11,14:59:35,0.2545,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,6.76535296978043e-07
2023-10-11,14:59:35,0.2582,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,4.945992472043051e-07
2023-10-11,14:59:35,0.2619,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,4.1202556801565717e-07
2023-10-11,14:59:35,0.2656,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,4.53971762896464e-07
2023-10-11,14:59:35,0.2693,28.06,25.25,3301,15237578.0,2.61298454326664e-05,0,-595.1652563569035,6.315487585162871e-07
2023-10-11,14:59:35,0.273,28.06,25.25,3302,15237577.0,2.608808602933685e-05,0,-593.5289524186585,9.17840230206287e-07
2023-10-11,14:59:35,0.2768,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.2287202297985354e-06
2023-10-11,14:59:35,0.2806,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.4656385280563794e-06
2023-10-11,14:59:35,0.2843,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,1.5838273981129333e-06
2023-10-11,14:59:35,0.2879,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.5860720516806053e-06
2023-10-11,14:59:35,0.2916,28.06,25.25,3305,15237577.0,2.596320781954575e-05,0,-591.6261355593275,1.485617200110652e-06
2023-10-11,14:59:35,0.2953,28.06,25.25,3303,15237577.0,2.604639336378313e-05,0,-592.8936653893298,1.3237273955225292e-06
2023-10-11,14:59:35,0.299,28.06,25.25,3303,15237578.0,2.604639336378313e-05,0,-593.8936653893298,1.1646407113547959e-06
2023-10-11,14:59:35,0.3029,28.06,25.25,3304,15237578.0,2.600476732934825e-05,0,-593.2593936437445,1.0419590035399896e-06
2023-10-11,14:59:35,0.3066,28.06,25.25,3303,15237578.0,2.604639336378313e-05,0,-593.8936653893298,9.646178599476326e-07
2023-10-11,14:59:35,0.3103,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,9.537388503408257e-07
2023-10-11,14:59:35,0.314,28.06,25.25,3303,15237579.0,2.604639336378313e-05,0,-594.8936653893298,1.006797013129921e-06
2023-10-11,14:59:35,0.3177,28.06,25.25,3304,15237578.0,2.600476732934825e-05,0,-593.2593936437445,1.0552726183426529e-06
2023-10-11,14:59:35,0.3214,28.06,25.25,3304,15237577.0,2.600476732934825e-05,0,-592.2593936437445,1.0249495462630572e-06
2023-10-11,14:59:35,0.3251,28.06,25.25,3302,15237578.0,2.608808602933685e-05,0,-594.5289524186585,9.357725130232092e-07
