# shear_rate,viscosity_raw,viscosity_avg
611.72,4.24,4.24
662.81,4.70,4.70
930.79,3.92,3.92
1131.35,4.27,4.27
2022.17,3.69,3.69
3706.91,4.15,4.15
8722.03,3.95,3.95
8742.69,3.93,3.95
8828.72,3.93,3.95
8947.71,3.91,3.95
9071.41,3.89,3.95
9178.69,3.89,3.95
9295.74,3.88,3.95
9434.16,3.85,3.95
9549.07,3.86,3.95
9692.34,3.83,3.95
9823.95,3.83,3.95
9934.35,3.85,3.95
10068.79,3.85,3.95
10165.05,3.88,3.95
10339.97,3.86,3.95
10515.33,3.84,3.95
10617.39,3.88,3.95
10764.36,3.89,3.95
10890.52,3.93,3.95
10962.07,4.00,3.95
11174.40,3.99,3.95
11334.60,4.02,3.95
11534.70,4.02,3.95
11746.13,4.03,3.95
11981.45,4.03,3.95
12150.78,4.08,3.95
12341.14,4.13,3.95
12584.40,4.15,3.95
12824.76,4.19,3.95
13098.00,4.22,3.95
13428.04,4.22,3.95
13805.28,4.22,3.95
14121.58,4.28,3.95
14379.38,4.39,3.95
14673.69,4.49,3.95
15037.08,4.58,3.95
15384.57,4.72,3.95
15866.46,4.82,3.95
16641.04,4.79,3.95
17938.20,4.98,3.95
18581.29,5.16,3.95
19863.84,5.16,3.95
21490.28,5.15,3.95
21886.79,5.95,3.95
21668.43,7.59,3.95
27640.16,6.17,3.95
39665.75,4.47,3.95
49812.14,5.60,3.95
5000000.00,1.47,1.47
15000000.00,2.84,2.84
