Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C),Ambient(C)
2022-10-08 15:30:02,SET '=OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,25.25,26.62
2022-10-08 15:30:02,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,60.0/-1,25.25,26.62
2022-10-08 15:30:02,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,25.25,26.62
2022-10-08 15:30:03,SET '25',CYCLE/IDLE,1,0/0,60.0/-1,25.25,26.62
2022-10-08 15:30:06,GET,STABLE/COOL,-26,0/3,24.94/25.38,25.14,26.56
2022-10-08 15:30:10,GET,STABLE/COOL,-22,0/7,25.19/25.48,25.37,26.62
2022-10-08 15:30:13,GET,STABLE/COOL,-26,0/10,25.26/25.49,25.49,26.62
2022-10-08 15:30:17,GET,STABLE/COOL,-26,0/14,25.26/25.47,25.47,26.62
2022-10-08 15:30:20,GET,STABLE/COOL,-26,0/17,25.28/25.44,25.35,26.62
2022-10-08 15:30:24,GET,STABLE/COOL,-26,0/21,25.42/25.5,25.5,26.62
2022-10-08 15:30:27,GET,STABLE/COOL,-27,0/24,25.31/25.49,25.49,26.62
2022-10-08 15:30:31,GET,STABLE/COOL,-27,0/28,25.26/25.5,25.38,26.69
2022-10-08 15:30:34,GET,STABLE/COOL,-27,0/31,25.29/25.45,25.29,26.62
2022-10-08 15:30:37,GET,STABLE/COOL,-27,0/35,25.35/25.49,25.49,26.62
2022-10-08 15:30:41,GET,STABLE/COOL,-27,0/38,25.3/25.5,25.3,26.62
2022-10-08 15:30:45,GET,STABLE/COOL,-27,0/42,25.33/25.46,25.35,26.62
2022-10-08 15:30:49,GET,STABLE/COOL,-27,0/46,25.37/25.48,25.48,26.62
2022-10-08 15:30:53,GET,STABLE/COOL,-28,0/50,25.12/25.49,25.37,26.62
2022-10-08 15:30:56,GET,STABLE/COOL,-28,0/53,25.34/25.48,25.43,26.62
2022-10-08 15:31:00,GET,STABLE/COOL,-28,0/57,25.29/25.42,25.4,26.62
