Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C),Ambient(C)
2021-12-21 15:11:16,GET,STABLE/COOL,-22,0/236,24.76/25.3,24.9,0.0
2021-12-21 15:11:19,GET,STABLE/COOL,-22,0/239,24.82/25.04,24.91,0.0
2021-12-21 15:11:22,GET,STABLE/COOL,-22,0/242,24.84/25.11,24.92,0.0
2021-12-21 15:11:23,SET '20',CYCLE/COOL,-25,0/0,-1/-1,24.98,0.0
2021-12-21 15:11:26,GET,CYCLE/COOL,-206,0/3,-1/-1,24.98,0.0
2021-12-21 15:11:29,GET,CYCLE/COOL,-217,0/6,-1/-1,25.07,0.0
2021-12-21 15:11:32,GET,CYCLE/COOL,-218,0/9,-1/-1,24.92,0.0
2021-12-21 15:11:35,GET,CYCLE/COOL,-222,0/12,-1/-1,24.83,0.0
2021-12-21 15:11:38,GET,CYCLE/COOL,-228,0/15,-1/-1,24.79,0.0
2021-12-21 15:11:41,GET,CYCLE/COOL,-223,0/18,-1/-1,24.48,0.0
2021-12-21 15:11:44,GET,CYCLE/COOL,-227,0/21,-1/-1,24.44,0.0
2021-12-21 15:11:47,GET,CYCLE/COOL,-235,0/24,-1/-1,24.46,0.0
2021-12-21 15:11:50,GET,CYCLE/COOL,-224,0/27,-1/-1,24.03,0.0
2021-12-21 15:11:53,GET,CYCLE/COOL,-227,0/30,-1/-1,23.95,0.0
2021-12-21 15:11:56,GET,CYCLE/COOL,-229,0/33,-1/-1,23.85,0.0
2021-12-21 15:11:59,GET,CYCLE/COOL,-215,0/36,-1/-1,23.38,0.0
2021-12-21 15:12:02,GET,CYCLE/COOL,-204,0/39,-1/-1,22.99,0.0
2021-12-21 15:12:05,GET,CYCLE/COOL,-212,0/42,-1/-1,23.09,0.0
2021-12-21 15:12:08,GET,CYCLE/COOL,-203,0/45,-1/-1,22.74,0.0
2021-12-21 15:12:11,GET,CYCLE/COOL,-211,0/48,-1/-1,22.85,0.0
2021-12-21 15:12:14,GET,CYCLE/COOL,-207,0/51,-1/-1,22.63,0.0
2021-12-21 15:12:17,GET,CYCLE/COOL,-214,0/54,-1/-1,22.71,0.0
2021-12-21 15:12:20,GET,CYCLE/COOL,-215,0/57,-1/-1,22.64,0.0
2021-12-21 15:12:23,GET,CYCLE/COOL,-214,0/60,-1/-1,22.51,0.0
2021-12-21 15:12:26,GET,CYCLE/COOL,-216,0/63,-1/-1,22.47,0.0
2021-12-21 15:12:29,GET,CYCLE/COOL,-223,0/66,-1/-1,22.57,0.0
2021-12-21 15:12:32,GET,CYCLE/COOL,-218,0/69,-1/-1,22.34,0.0
2021-12-21 15:12:35,GET,CYCLE/COOL,-213,0/72,-1/-1,22.14,0.0
2021-12-21 15:12:38,GET,CYCLE/COOL,-214,0/75,-1/-1,22.08,0.0
2021-12-21 15:12:41,GET,CYCLE/COOL,-212,0/78,-1/-1,21.95,0.0
2021-12-21 15:12:44,GET,CYCLE/COOL,-200,0/81,-1/-1,21.61,0.0
2021-12-21 15:12:47,GET,CYCLE/COOL,-202,0/84,-1/-1,21.59,0.0
2021-12-21 15:12:50,GET,CYCLE/COOL,-223,0/87,-1/-1,22.05,0.0
2021-12-21 15:12:53,GET,CYCLE/COOL,-211,0/90,-1/-1,21.68,0.0
2021-12-21 15:12:56,GET,CYCLE/COOL,-216,0/93,-1/-1,21.72,0.0
