Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C),Ambient(C)
2021-12-10 15:30:41,SET '25',CYCLE/COOL,-1,0/0,-1/-1,25.75,27.25
2021-12-10 15:30:44,GET,STABLE/COOL,-23,1/3,25.5/25.75,25.75,27.25
2021-12-10 15:30:47,GET,STABLE/COOL,-28,1/6,25.5/25.75,25.5,27.25
2021-12-10 15:30:50,GET,STABLE/COOL,-33,1/9,25.25/25.75,25.5,27.19
2021-12-10 15:30:53,SET 'OFF',IDLE/OFF,0,1/0,25.5/26.0,25.75,27.19
2022-01-09 15:22:59,SET '=OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,24.5,24.0
2022-01-09 15:22:59,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,60.0/-1,24.5,24.0
2022-01-09 15:22:59,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,24.5,24.0
2022-01-09 15:22:59,SET '15',CYCLE/IDLE,1,0/0,60.0/-1,24.5,24.0
2022-01-09 15:23:02,GET,CYCLE/COOL,-255,0/3,60.0/-1,19.23,24.0
2022-01-09 15:23:05,GET,CYCLE/COOL,-255,0/6,60.0/-1,19.36,24.0
2022-01-09 15:23:08,GET,CYCLE/COOL,-255,0/9,60.0/-1,19.0,24.0
2022-01-09 15:23:11,GET,CYCLE/COOL,-255,0/12,60.0/-1,18.79,24.0
2022-01-09 15:23:15,GET,CYCLE/COOL,-255,0/15,60.0/-1,19.33,24.0
2022-01-09 15:23:18,GET,CYCLE/COOL,-255,0/18,60.0/-1,19.04,24.0
2022-01-09 15:23:21,GET,CYCLE/COOL,-255,0/21,60.0/-1,19.3,24.0
2022-01-09 15:23:24,GET,CYCLE/COOL,-255,0/24,60.0/-1,19.97,24.0
2022-01-09 15:23:27,GET,CYCLE/COOL,-255,0/27,60.0/-1,20.16,24.0
2022-01-09 15:23:30,GET,CYCLE/COOL,-255,0/30,60.0/-1,20.37,24.0
2022-01-09 15:23:33,GET,CYCLE/COOL,-255,0/33,60.0/-1,20.12,24.0
2022-01-09 15:23:36,GET,CYCLE/COOL,-255,0/37,60.0/-1,20.54,24.0
2022-01-09 15:23:39,GET,CYCLE/COOL,-255,0/40,60.0/-1,20.59,24.0
2022-01-09 15:23:42,GET,CYCLE/COOL,-255,0/43,60.0/-1,20.82,24.0
2022-01-09 15:23:45,GET,CYCLE/COOL,-255,0/46,60.0/-1,21.36,24.0
2022-01-09 15:23:48,GET,CYCLE/COOL,-255,0/49,60.0/-1,21.01,24.0
2022-01-09 15:23:51,GET,CYCLE/COOL,-255,0/52,60.0/-1,21.44,24.0
2022-01-09 15:23:54,GET,CYCLE/COOL,-255,0/55,60.0/-1,21.76,24.0
2022-01-09 15:23:57,GET,CYCLE/COOL,-255,0/58,60.0/-1,22.2,24.0
2022-01-09 15:24:00,GET,CYCLE/COOL,-255,0/61,60.0/-1,22.15,24.0
2022-01-09 15:24:03,GET,CYCLE/COOL,-255,0/64,60.0/-1,22.48,24.0
2022-01-09 15:24:06,GET,CYCLE/COOL,-255,0/67,60.0/-1,22.28,24.0
2022-01-09 15:24:09,GET,CYCLE/COOL,-255,0/70,60.0/-1,21.07,24.0
2022-01-09 15:24:12,GET,CYCLE/COOL,-255,0/73,60.0/-1,25.98,24.0
