Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-07 16:40:16,GET,STABLE/HEAT,23,0/72,31.0/31.5,31.25
2021-12-07 16:40:19,GET,STABLE/HEAT,23,0/75,31.25/31.5,31.5
2021-12-07 16:40:22,GET,STABLE/HEAT,25,0/78,31.0/31.25,31.25
2021-12-07 16:40:25,GET,STABLE/HEAT,27,0/81,30.75/31.5,31.25
2021-12-07 16:40:28,GET,STABLE/HEAT,26,0/84,31.0/31.5,31.5
2021-12-07 16:40:31,GET,STABLE/HEAT,27,0/87,30.75/31.5,31.5
2021-12-07 16:40:34,GET,STABLE/HEAT,31,0/90,30.75/31.5,31.0
2021-12-07 16:40:37,GET,STABLE/HEAT,30,0/93,31.0/31.5,31.0
2021-12-07 16:40:40,GET,STABLE/HEAT,31,0/96,30.75/31.5,31.5
2021-12-07 16:40:43,GET,STABLE/HEAT,32,0/99,30.5/31.5,31.5
2021-12-07 16:40:46,GET,STABLE/HEAT,36,0/102,30.75/31.25,31.0
2021-12-07 16:40:49,GET,STABLE/HEAT,36,0/105,30.75/31.5,31.25
2021-12-07 16:40:52,GET,STABLE/HEAT,36,0/108,31.0/31.5,31.5
2021-12-07 16:40:55,GET,STABLE/HEAT,39,0/111,31.0/31.5,31.0
2021-12-07 16:40:59,GET,STABLE/HEAT,39,0/114,30.75/31.5,31.0
2021-12-07 16:41:02,GET,STABLE/HEAT,39,0/117,31.25/31.5,31.0
2021-12-07 16:41:05,GET,STABLE/HEAT,40,0/120,31.0/31.5,31.25
2021-12-07 16:41:08,GET,STABLE/HEAT,42,0/123,31.0/31.5,31.5
2021-12-07 16:41:11,GET,STABLE/HEAT,45,0/126,31.0/31.5,31.5
2021-12-07 16:41:14,GET,STABLE/HEAT,44,0/129,31.25/31.5,31.5
2021-12-07 16:41:17,GET,STABLE/HEAT,44,0/132,30.75/31.5,31.0
2021-12-07 16:41:20,GET,STABLE/HEAT,51,0/135,30.5/31.25,31.5
2021-12-07 16:41:23,GET,STABLE/HEAT,47,0/138,30.75/31.5,31.5
2021-12-07 16:41:26,GET,STABLE/HEAT,51,0/141,31.0/31.5,31.0
2021-12-07 16:41:29,GET,STABLE/HEAT,51,0/144,31.0/31.5,31.0
2021-12-07 16:41:32,GET,STABLE/HEAT,50,0/147,31.0/31.5,31.25
2021-12-07 16:41:35,GET,STABLE/HEAT,53,0/150,31.0/31.5,31.25
2021-12-07 16:41:38,GET,STABLE/HEAT,56,0/153,30.75/31.0,31.25
2021-12-07 16:41:41,GET,STABLE/HEAT,60,0/156,30.5/31.25,31.5
2021-12-07 16:41:44,GET,STABLE/HEAT,60,0/159,30.75/31.5,31.0
2021-12-07 16:41:47,GET,STABLE/HEAT,59,0/162,31.0/31.25,31.25
2021-12-07 16:41:50,GET,STABLE/HEAT,60,0/165,31.0/31.5,31.0
2021-12-07 16:41:53,GET,STABLE/HEAT,60,0/168,30.75/31.5,31.5
2021-12-07 16:41:56,GET,STABLE/HEAT,64,0/171,30.75/31.5,31.0
2021-12-07 16:41:59,GET,STABLE/HEAT,68,0/174,30.5/31.5,31.25
2021-12-07 16:42:02,GET,STABLE/HEAT,68,0/177,30.75/31.25,31.0
2021-12-07 16:42:05,GET,STABLE/HEAT,68,0/180,31.0/31.5,31.0
2021-12-07 16:42:08,GET,STABLE/HEAT,68,0/183,31.25/31.5,31.25
2021-12-07 16:42:11,GET,STABLE/HEAT,68,0/186,30.75/31.5,31.0
2021-12-07 16:42:14,GET,STABLE/HEAT,70,0/189,30.75/31.5,30.75
2021-12-07 16:42:17,GET,STABLE/HEAT,73,0/192,31.0/31.25,31.25
2021-12-07 16:42:20,GET,STABLE/HEAT,72,0/195,30.5/31.5,31.5
2021-12-07 16:42:23,GET,STABLE/HEAT,73,0/198,30.75/31.5,31.25
2021-12-07 16:42:38,SET '32',CYCLE/HEAT,80,0/0,-1/-1,30.75
2021-12-07 16:42:42,GET,CYCLE/HEAT,6,0/3,-1/-1,31.25
2021-12-07 16:43:35,GET,STABLE/HEAT,27,11/56,30.5/31.5,31.25
2021-12-07 16:43:38,GET,STABLE/HEAT,33,11/59,30.5/31.5,31.0
2021-12-07 16:43:41,GET,STABLE/HEAT,33,11/62,30.5/31.25,31.25
2021-12-07 16:43:44,GET,STABLE/HEAT,31,11/65,31.0/31.5,31.5
2021-12-07 16:43:47,GET,STABLE/HEAT,33,11/68,31.0/31.5,31.5
