Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C),Ambient(C)
2022-03-01 17:14:49,SET '=OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,26.0,nan
2022-03-01 17:14:49,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,60.0/-1,26.0,nan
2022-03-01 17:14:49,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,26.0,nan
2022-03-01 17:14:49,SET '20',CYCLE/IDLE,1,0/0,60.0/-1,26.0,nan
2022-03-01 17:14:52,GET,CYCLE/COOL,-255,0/3,60.0/-1,25.5,nan
2022-03-01 17:14:55,GET,CYCLE/COOL,-255,0/6,60.0/-1,25.41,nan
2022-03-01 17:14:58,GET,CYCLE/COOL,-78,0/9,60.0/-1,24.98,nan
2022-03-01 17:15:01,GET,CYCLE/COOL,-85,0/12,60.0/-1,24.38,nan
2022-03-01 17:15:04,GET,CYCLE/COOL,-91,0/15,60.0/-1,23.69,nan
2022-03-01 17:15:07,GET,CYCLE/COOL,-97,0/18,60.0/-1,23.33,nan
2022-03-01 17:15:10,GET,CYCLE/COOL,-102,0/21,60.0/-1,23.2,nan
2022-03-01 17:15:13,GET,CYCLE/COOL,-106,0/24,60.0/-1,23.01,nan
2022-03-01 17:15:16,GET,CYCLE/COOL,-110,0/27,60.0/-1,22.62,nan
2022-03-01 17:15:19,GET,CYCLE/COOL,-114,0/30,60.0/-1,22.51,nan
2022-03-01 17:15:22,GET,CYCLE/COOL,-118,0/33,60.0/-1,22.1,nan
2022-03-01 17:15:25,GET,CYCLE/COOL,-121,0/36,60.0/-1,21.25,nan
2022-03-01 17:15:28,GET,CYCLE/COOL,-123,0/39,60.0/-1,21.8,nan
2022-03-01 17:15:31,GET,CYCLE/COOL,-125,0/42,60.0/-1,21.46,nan
2022-03-01 17:15:34,GET,CYCLE/COOL,-127,0/45,60.0/-1,21.39,nan
2022-03-01 17:15:37,GET,CYCLE/COOL,-129,0/48,60.0/-1,20.96,nan
2022-03-01 17:15:40,GET,STABLE/COOL,-75,51/51,20.5/20.5,20.5,nan
2022-03-01 17:15:43,GET,STABLE/COOL,-75,51/54,20.47/20.81,20.47,nan
2022-03-01 17:15:46,GET,STABLE/COOL,-75,51/57,20.41/20.81,20.41,nan
2022-03-01 17:15:49,GET,STABLE/COOL,-76,51/60,20.45/20.65,20.6,nan
2022-03-01 17:15:52,GET,STABLE/COOL,-76,51/63,20.4/20.7,20.4,nan
2022-03-01 17:15:55,GET,STABLE/COOL,-76,51/66,20.2/20.55,20.26,nan
2022-03-01 17:15:58,GET,STABLE/COOL,-76,51/69,20.28/20.57,20.49,nan
2022-03-01 17:16:01,GET,STABLE/COOL,-76,51/72,20.61/20.72,20.68,nan
2022-03-01 17:16:04,GET,STABLE/COOL,-76,51/75,20.25/20.73,20.25,nan
2022-03-01 17:16:07,GET,STABLE/COOL,-76,51/78,20.37/20.61,20.4,nan
2022-03-01 17:16:10,GET,STABLE/COOL,-77,51/81,20.58/20.74,20.74,nan
2022-03-01 17:16:13,GET,STABLE/COOL,-77,51/84,20.5/20.75,20.71,nan
2022-03-01 17:16:16,GET,STABLE/COOL,-77,51/87,20.43/20.8,20.8,nan
2022-03-01 17:16:19,GET,STABLE/COOL,-77,51/90,20.26/20.69,20.55,nan
2022-03-01 17:16:22,GET,STABLE/COOL,-78,51/93,20.53/20.95,20.53,nan
2022-03-01 17:16:25,GET,STABLE/COOL,-79,51/96,20.64/21.05,20.9,nan
2022-03-01 17:16:28,GET,STABLE/COOL,-80,51/99,20.52/21.07,20.63,nan
2022-03-01 17:16:31,GET,STABLE/COOL,-80,51/102,20.62/20.97,20.65,nan
2022-03-01 17:16:34,GET,STABLE/COOL,-81,51/105,20.7/20.91,20.71,nan
2022-03-01 17:16:37,GET,STABLE/COOL,-82,51/108,20.62/21.03,21.03,nan
2022-03-01 17:16:40,GET,STABLE/COOL,-83,51/111,20.75/21.01,20.84,nan
2022-03-01 17:16:43,GET,STABLE/COOL,-85,51/114,20.84/20.96,20.84,nan
2022-03-01 17:16:46,GET,STABLE/COOL,-86,51/117,20.65/21.04,20.82,nan
2022-03-01 17:16:49,GET,STABLE/COOL,-87,51/120,20.66/21.18,21.04,nan
2022-03-01 17:16:52,GET,STABLE/COOL,-88,51/123,20.87/21.15,20.93,nan
2022-03-01 17:16:55,GET,STABLE/COOL,-90,51/126,20.87/21.09,21.05,nan
2022-03-01 17:16:58,GET,STABLE/COOL,-91,51/129,20.64/21.14,20.7,nan
2022-03-01 17:17:01,GET,STABLE/COOL,-92,51/132,20.72/20.89,20.82,nan
2022-03-01 17:17:04,GET,STABLE/COOL,-92,51/135,20.48/20.71,20.49,nan
2022-03-01 17:17:07,GET,STABLE/COOL,-92,51/138,20.47/20.74,20.74,nan
2022-03-01 17:17:10,GET,STABLE/COOL,-93,51/141,20.53/20.82,20.79,nan
2022-03-01 17:17:13,GET,STABLE/COOL,-94,51/144,20.42/20.95,20.42,nan
2022-03-01 17:17:16,GET,STABLE/COOL,-94,51/147,20.53/20.85,20.53,nan
2022-03-01 17:17:19,GET,STABLE/COOL,-94,51/150,20.51/20.73,20.73,nan
2022-03-01 17:17:22,GET,STABLE/COOL,-95,51/153,20.47/20.86,20.5,nan
2022-03-01 17:17:25,GET,STABLE/COOL,-95,51/156,20.3/20.5,20.4,nan
2022-03-01 17:17:28,GET,STABLE/COOL,-95,51/159,20.32/20.79,20.79,nan
2022-03-01 17:17:31,GET,STABLE/COOL,-95,51/162,20.45/20.65,20.64,nan
2022-03-01 17:17:34,GET,STABLE/COOL,-96,51/165,20.32/20.69,20.41,nan
2022-03-01 17:17:37,GET,STABLE/COOL,-96,51/168,20.1/20.46,20.38,nan
2022-03-01 17:17:40,GET,STABLE/COOL,-96,51/171,20.22/20.56,20.28,nan
2022-03-01 17:17:43,GET,STABLE/COOL,-96,51/174,20.07/20.51,20.48,nan
2022-03-01 17:17:46,GET,STABLE/COOL,-96,51/177,20.24/20.78,20.51,nan
2022-03-01 17:17:49,GET,STABLE/COOL,-96,51/180,20.2/20.56,20.36,nan
2022-03-01 17:17:52,GET,STABLE/COOL,-96,51/183,20.01/20.59,20.01,nan
2022-03-01 17:17:55,GET,STABLE/COOL,-97,51/186,20.25/20.75,20.5,nan
2022-03-01 17:17:58,GET,STABLE/COOL,-97,51/189,20.38/20.59,20.45,nan
2022-03-01 17:18:01,GET,STABLE/COOL,-97,51/192,20.18/20.47,20.21,nan
2022-03-01 17:18:04,GET,STABLE/COOL,-97,51/195,19.9/20.35,20.18,nan
2022-03-01 17:18:07,GET,STABLE/COOL,-97,51/198,19.95/20.33,19.95,nan
2022-03-01 17:18:10,GET,STABLE/COOL,-97,51/201,20.15/20.42,20.42,nan
2022-03-01 17:18:13,GET,STABLE/COOL,-97,51/204,19.96/20.42,19.96,nan
2022-03-01 17:18:16,GET,STABLE/COOL,-97,51/207,20.11/20.45,20.3,nan
2022-03-01 17:18:19,GET,STABLE/COOL,-97,51/210,20.15/20.43,20.17,nan
2022-03-01 17:18:22,GET,STABLE/COOL,-97,51/213,20.26/20.58,20.26,nan
2022-03-01 17:18:25,GET,STABLE/COOL,-97,51/216,19.91/20.29,20.29,nan
2022-03-01 17:18:28,GET,STABLE/COOL,-98,51/219,20.27/20.49,20.37,nan
2022-03-01 17:18:31,GET,STABLE/COOL,-98,51/222,19.93/20.29,20.29,nan
2022-03-01 17:18:34,GET,STABLE/COOL,-98,51/225,20.04/20.4,20.1,nan
2022-03-01 17:18:37,GET,STABLE/COOL,-98,51/228,19.98/20.25,20.25,nan
2022-03-01 17:18:40,GET,STABLE/COOL,-98,51/231,19.91/20.31,20.02,nan
2022-03-01 17:18:43,GET,STABLE/COOL,-98,51/234,19.82/20.26,20.13,nan
2022-03-01 17:18:46,GET,STABLE/COOL,-98,51/237,19.93/20.22,19.98,nan
2022-03-01 17:18:49,GET,STABLE/COOL,-98,51/240,19.99/20.25,20.06,nan
2022-03-01 17:18:52,GET,STABLE/COOL,-98,51/243,19.87/20.24,20.06,nan
2022-03-01 17:18:55,GET,STABLE/COOL,-98,51/246,20.04/20.16,20.15,nan
2022-03-01 17:18:58,GET,STABLE/COOL,-98,51/249,19.85/20.32,20.09,nan
2022-03-01 17:19:01,GET,STABLE/COOL,-98,51/252,19.71/20.15,19.85,nan
2022-03-01 17:19:04,GET,STABLE/COOL,-98,51/255,20.12/20.24,20.19,nan
2022-03-01 17:19:07,GET,STABLE/COOL,-98,51/258,19.92/20.18,20.18,nan
2022-03-01 17:19:10,GET,STABLE/COOL,-98,51/261,20.09/20.3,20.1,nan
2022-03-01 17:19:13,GET,STABLE/COOL,-98,51/264,19.93/20.21,19.98,nan
2022-03-01 17:19:16,GET,STABLE/COOL,-98,51/267,20.24/20.39,20.39,nan
2022-03-01 17:19:19,GET,STABLE/COOL,-98,51/270,19.96/20.32,20.15,nan
2022-03-01 17:19:22,GET,STABLE/COOL,-98,51/273,19.89/20.39,20.39,nan
2022-03-01 17:19:25,GET,STABLE/COOL,-98,51/276,20.18/20.45,20.36,nan
2022-03-01 17:19:28,GET,STABLE/COOL,-98,51/280,19.99/20.23,19.99,nan
2022-03-01 17:19:37,GET,STABLE/COOL,-98,51/289,19.81/20.25,19.99,nan
2022-03-01 17:19:53,GET,STABLE/COOL,-98,51/304,19.52/20.36,20.07,nan
2022-03-01 17:19:56,GET,STABLE/COOL,-98,51/307,19.9/20.16,19.9,nan
2022-03-01 17:19:59,GET,STABLE/COOL,-98,51/310,19.85/20.21,20.21,nan
2022-03-01 17:20:02,GET,STABLE/COOL,-98,51/313,19.87/20.23,19.94,nan
2022-03-01 17:20:05,GET,STABLE/COOL,-98,51/316,19.97/20.22,20.11,nan
2022-03-01 17:20:08,GET,STABLE/COOL,-98,51/319,19.93/20.2,20.2,nan
2022-03-01 17:20:11,GET,STABLE/COOL,-98,51/322,19.98/20.24,20.05,nan
2022-03-01 17:20:14,GET,STABLE/COOL,-98,51/325,19.79/20.02,19.88,nan
2022-03-01 17:20:17,GET,STABLE/COOL,-98,51/328,19.72/20.09,20.04,nan
2022-03-01 17:20:20,GET,STABLE/COOL,-98,51/331,19.76/20.04,19.88,nan
2022-03-01 17:20:23,GET,STABLE/COOL,-98,51/334,20.06/20.48,20.06,nan
2022-03-01 17:20:26,GET,STABLE/COOL,-99,51/337,19.9/21.28,21.28,nan
2022-03-01 17:20:29,GET,STABLE/COOL,-101,51/340,21.14/21.66,21.58,nan
2022-03-01 17:20:32,GET,STABLE/COOL,-103,51/343,21.22/21.45,21.43,nan
2022-03-01 17:20:35,GET,STABLE/COOL,-105,51/346,21.17/21.46,21.46,nan
2022-03-01 17:20:38,GET,STABLE/COOL,-107,51/349,21.12/21.49,21.28,nan
2022-03-01 17:20:56,GET,STABLE/COOL,-120,51/367,21.19/21.93,21.86,nan
2022-03-01 17:20:59,GET,STABLE/COOL,-123,51/370,21.84/22.17,22.08,nan
2022-03-01 17:21:02,GET,STABLE/COOL,-126,51/373,21.83/22.17,21.83,nan
2022-03-01 17:21:11,GET,STABLE/COOL,-135,51/382,21.67/22.29,22.1,nan
2022-03-01 17:21:40,GET,STABLE/COOL,-167,51/411,21.72/22.78,22.43,nan
2022-03-01 17:21:43,SET 'OFF',IDLE/OFF,0,51/0,22.34/22.68,22.68,nan
2022-03-01 17:22:38,SET '20',CYCLE/IDLE,1,0/0,60.0/-1,24.0,nan
2022-03-01 17:22:41,GET,CYCLE/COOL,-82,0/3,60.0/-1,24.53,nan
2022-03-01 17:22:44,GET,CYCLE/COOL,-88,0/6,60.0/-1,24.36,nan
2022-03-01 17:23:01,GET,CYCLE/COOL,-122,0/23,60.0/-1,24.45,nan
2022-03-01 17:23:19,GET,CYCLE/COOL,-157,0/41,60.0/-1,24.14,nan
2022-03-01 17:23:22,SET 'OFF',IDLE/OFF,0,0/0,60.0/-1,24.25,nan
2022-03-01 17:35:19,SET '=OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,27.5,nan
2022-03-01 17:35:19,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,60.0/-1,27.5,nan
2022-03-01 17:35:19,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,60.0/-1,27.5,nan
2022-03-01 17:35:19,SET '20',CYCLE/COOL,-1,0/0,60.0/-1,27.5,nan
2022-03-01 17:35:22,GET,CYCLE/COOL,-255,0/3,60.0/-1,26.97,nan
2022-03-01 17:35:25,GET,CYCLE/COOL,-255,0/6,60.0/-1,26.61,nan
2022-03-01 17:35:28,GET,CYCLE/COOL,-255,0/9,60.0/-1,26.5,nan
2022-03-01 17:35:31,GET,CYCLE/COOL,-255,0/12,60.0/-1,26.55,nan
2022-03-01 17:35:34,GET,CYCLE/COOL,-255,0/15,60.0/-1,26.51,nan
2022-03-01 17:35:55,GET,CYCLE/COOL,-255,0/35,60.0/-1,25.34,nan
2022-03-01 17:35:58,GET,CYCLE/COOL,-255,0/38,60.0/-1,25.41,nan
2022-03-01 17:36:01,GET,CYCLE/COOL,-255,0/41,60.0/-1,25.07,nan
2022-03-01 17:36:04,GET,CYCLE/COOL,-255,0/44,60.0/-1,25.11,nan
2022-03-01 17:36:07,GET,CYCLE/COOL,-78,0/47,60.0/-1,24.92,nan
2022-03-01 17:36:10,GET,CYCLE/COOL,-84,0/50,60.0/-1,24.83,nan
2022-03-01 17:36:13,GET,CYCLE/COOL,-90,0/53,60.0/-1,24.7,nan
2022-03-01 17:36:16,GET,CYCLE/COOL,-94,0/56,60.0/-1,24.82,nan
2022-03-01 17:36:19,GET,CYCLE/COOL,-101,0/59,60.0/-1,24.97,nan
2022-03-01 17:36:22,GET,STABLE/COOL,-75,62/62,60.0/-1,20.3,nan
2022-03-01 17:36:25,GET,STABLE/COOL,-72,62/65,17.71/19.4,17.73,nan
2022-03-01 17:36:28,GET,STABLE/COOL,-68,62/68,16.88/17.56,17.07,nan
2022-03-01 17:36:31,GET,STABLE/COOL,-64,62/71,17.08/17.58,17.58,nan
2022-03-01 17:36:34,GET,STABLE/COOL,-61,62/74,17.67/17.99,17.68,nan
2022-03-01 17:36:37,GET,STABLE/COOL,-58,62/77,17.72/18.4,18.4,nan
2022-03-01 17:36:40,GET,STABLE/COOL,-56,62/80,18.33/18.66,18.58,nan
2022-03-01 17:36:43,GET,STABLE/COOL,-54,62/83,18.54/18.98,18.98,nan
2022-03-01 17:36:46,GET,STABLE/COOL,-53,62/86,18.86/19.24,19.24,nan
2022-03-01 17:36:49,GET,STABLE/COOL,-52,62/89,19.12/19.81,19.81,nan
2022-03-01 17:36:52,GET,STABLE/COOL,-52,62/92,19.9/20.1,20.08,nan
2022-03-01 17:36:55,GET,STABLE/COOL,-52,62/95,20.16/20.46,20.46,nan
2022-03-01 17:36:58,GET,STABLE/COOL,-52,62/98,20.18/20.54,20.54,nan
2022-03-01 17:37:01,GET,STABLE/COOL,-53,62/101,20.56/20.72,20.65,nan
2022-03-01 17:37:04,GET,STABLE/COOL,-54,62/104,20.64/21.04,21.02,nan
2022-03-01 17:37:07,GET,STABLE/COOL,-56,62/107,21.11/21.46,21.11,nan
2022-03-01 17:37:10,GET,STABLE/COOL,-58,62/110,21.21/21.43,21.24,nan
2022-03-01 17:37:13,GET,STABLE/COOL,-60,62/113,21.49/21.91,21.66,nan
2022-03-01 17:37:16,GET,STABLE/COOL,-63,62/116,21.58/22.15,22.15,nan
2022-03-01 17:37:19,GET,STABLE/COOL,-67,62/119,22.33/22.74,22.62,nan
2022-03-01 17:37:22,GET,STABLE/COOL,-70,62/122,22.16/22.63,22.16,nan
2022-03-01 17:37:25,GET,STABLE/COOL,-74,62/125,22.18/22.37,22.34,nan
2022-03-01 17:37:28,GET,STABLE/COOL,-77,62/128,22.29/22.65,22.45,nan
2022-03-01 17:37:31,GET,STABLE/COOL,-81,62/131,22.3/22.63,22.57,nan
2022-03-01 17:37:34,GET,STABLE/COOL,-85,62/134,22.27/22.66,22.57,nan
2022-03-01 17:37:37,GET,STABLE/COOL,-88,62/137,22.13/22.53,22.13,nan
2022-03-01 17:37:40,GET,STABLE/COOL,-91,62/140,21.82/22.06,21.83,nan
2022-03-01 17:37:43,GET,STABLE/COOL,-94,62/143,21.68/21.98,21.72,nan
2022-03-01 17:37:46,GET,STABLE/COOL,-96,62/146,21.35/21.86,21.43,nan
2022-03-01 17:37:49,GET,STABLE/COOL,-99,62/149,21.29/21.67,21.29,nan
2022-03-01 17:37:52,GET,STABLE/COOL,-101,62/152,21.34/21.45,21.42,nan
2022-03-01 17:37:55,GET,STABLE/COOL,-102,62/155,20.93/21.21,20.99,nan
2022-03-01 17:37:58,GET,STABLE/COOL,-103,62/158,20.61/20.87,20.61,nan
2022-03-01 17:38:01,GET,STABLE/COOL,-103,62/161,20.47/20.72,20.72,nan
2022-03-01 17:38:04,GET,STABLE/COOL,-103,62/164,20.25/20.73,20.62,nan
2022-03-01 17:38:07,GET,STABLE/COOL,-103,62/167,20.19/20.56,20.19,nan
2022-03-01 17:38:10,GET,STABLE/COOL,-103,62/170,20.15/20.43,20.15,nan
2022-03-01 17:38:13,GET,STABLE/COOL,-103,62/173,19.97/20.35,19.97,nan
2022-03-01 17:38:16,GET,STABLE/COOL,-104,62/176,20.11/21.28,21.28,nan
2022-03-01 17:38:19,GET,STABLE/COOL,-108,62/179,21.64/23.66,23.66,nan
2022-03-01 17:38:22,GET,STABLE/COOL,-114,62/182,23.58/24.16,24.16,nan
2022-03-01 17:38:25,GET,STABLE/COOL,-121,62/185,24.13/24.66,24.66,nan
2022-03-01 17:38:28,GET,STABLE/COOL,-128,62/188,24.45/24.75,24.75,nan
2022-03-01 17:38:31,GET,STABLE/COOL,-255,62/191,24.69/25.12,25.12,nan
2022-03-01 17:38:34,GET,STABLE/COOL,-140,62/194,24.72/25.06,24.99,nan
2022-03-01 17:38:53,GET,STABLE/COOL,-172,62/214,24.5/25.19,24.92,nan
2022-03-01 17:38:56,GET,STABLE/COOL,-180,62/217,24.54/24.97,24.97,nan
2022-03-01 17:38:59,GET,STABLE/COOL,-185,62/220,24.47/25.11,24.93,nan
2022-03-01 17:39:02,GET,STABLE/COOL,-193,62/223,24.62/24.98,24.98,nan
2022-03-01 17:39:05,GET,STABLE/COOL,-200,62/226,24.54/24.99,24.54,nan
2022-03-01 17:39:08,GET,STABLE/COOL,-207,62/229,24.56/24.77,24.56,nan
2022-03-01 17:39:11,GET,STABLE/COOL,-214,62/232,24.26/24.78,24.28,nan
2022-03-01 17:39:14,GET,STABLE/COOL,-220,62/235,24.32/24.64,24.46,nan
2022-03-01 17:39:17,GET,STABLE/COOL,-227,62/238,24.4/24.6,24.52,nan
2022-03-01 17:39:20,GET,STABLE/COOL,-234,62/241,24.19/24.52,24.51,nan
2022-03-01 17:39:23,GET,STABLE/COOL,-240,62/244,24.22/24.5,24.48,nan
2022-03-01 17:39:26,GET,STABLE/COOL,-247,62/247,24.14/24.53,24.32,nan
2022-03-01 17:39:29,GET,STABLE/COOL,-253,62/250,24.05/24.21,24.05,nan
2022-03-01 17:39:32,GET,STABLE/COOL,-255,62/253,23.9/24.46,24.18,nan
2022-03-01 17:39:35,GET,STABLE/COOL,-255,62/256,23.84/24.17,23.92,nan
2022-03-01 17:39:38,GET,STABLE/COOL,-255,62/259,23.58/24.2,24.17,nan
2022-03-01 17:39:41,GET,STABLE/COOL,-255,62/262,23.83/24.27,24.26,nan
2022-03-01 17:39:44,GET,STABLE/COOL,-255,62/265,24.0/24.26,24.06,nan
2022-03-01 17:39:47,GET,STABLE/COOL,-255,62/268,23.83/24.16,24.04,nan
2022-03-01 17:39:50,GET,STABLE/COOL,-255,62/271,23.67/24.14,23.79,nan
