Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-10 17:22:22,GET,STABLE/HEAT,6,35/82,29.0/34.0,29.5
2021-11-10 17:22:25,GET,STABLE/HEAT,8,35/85,29.5/30.25,30.0
2021-11-10 17:22:28,GET,STABLE/HEAT,6,35/88,30.0/30.5,30.5
2021-11-10 17:22:31,GET,STABLE/HEAT,5,35/91,30.25/30.75,30.75
2021-11-10 17:22:34,GET,STABLE/HEAT,4,35/94,30.5/31.25,31.25
2021-11-10 17:22:37,GET,STABLE/HEAT,3,35/97,30.5/31.25,31.5
2021-11-10 17:22:40,GET,STABLE/HEAT,2,35/100,31.25/31.75,32.25
2021-11-10 17:22:43,GET,STABLE/HEAT,3,35/103,31.25/32.0,32.25
2021-11-10 17:22:46,GET,STABLE/HEAT,4,35/106,31.75/32.0,32.25
2021-11-10 17:22:49,GET,STABLE/HEAT,3,35/109,31.5/32.0,32.5
2021-11-10 17:22:52,GET,STABLE/HEAT,2,35/112,29.5/32.75,30.0
2021-11-10 17:22:55,GET,STABLE/HEAT,2,35/115,29.75/30.25,30.25
2021-11-10 17:22:58,GET,STABLE/COOL,-16,35/118,30.25/31.0,30.0
2021-11-10 17:23:01,GET,STABLE/COOL,-27,35/121,30.5/31.25,30.75
2021-11-10 17:23:04,GET,STABLE/HEAT,4,35/124,27.75/31.25,27.25
2021-11-10 17:23:07,GET,STABLE/HEAT,5,35/127,27.75/28.25,28.5
2021-11-10 17:23:10,GET,STABLE/HEAT,5,35/130,28.0/28.5,28.75
2021-11-10 17:23:13,GET,STABLE/HEAT,3,35/133,28.25/29.5,29.25
2021-11-10 17:23:16,GET,STABLE/HEAT,3,35/136,29.0/29.75,29.5
2021-11-10 17:23:19,GET,STABLE/HEAT,2,35/139,29.5/30.25,30.75
2021-11-10 17:23:22,GET,STABLE/HEAT,2,35/142,30.0/30.75,29.75
2021-11-10 17:23:25,GET,STABLE/HEAT,6,35/145,29.75/30.5,30.75
2021-11-10 17:23:28,GET,STABLE/HEAT,9,35/148,30.0/30.75,30.0
2021-11-10 17:23:31,GET,STABLE/HEAT,10,35/151,30.0/30.75,30.75
2021-11-10 17:23:34,GET,STABLE/HEAT,9,35/154,30.5/31.25,31.0
2021-11-10 17:23:37,GET,STABLE/HEAT,1,35/157,31.0/31.75,31.25
2021-11-10 17:23:40,GET,STABLE/COOL,-21,35/160,30.75/31.5,30.5
2021-11-10 17:23:43,GET,STABLE/COOL,-21,35/163,30.5/31.0,30.25
2021-11-10 17:23:46,GET,STABLE/COOL,-14,35/166,30.0/30.5,30.5
2021-11-10 17:23:49,GET,STABLE/COOL,-14,35/169,29.75/30.5,30.0
2021-11-10 17:23:52,GET,STABLE/COOL,-7,35/172,29.5/30.25,30.25
2021-11-10 17:23:55,GET,STABLE/COOL,-1,35/175,29.0/30.25,29.25
2021-11-10 17:23:58,GET,STABLE/HEAT,4,35/178,29.25/29.75,30.0
