Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-10 17:26:31,GET,STABLE/HEAT,4,9/80,29.5/31.0,30.0
2021-11-10 17:26:34,GET,STABLE/HEAT,7,9/83,30.0/31.0,30.0
2021-11-10 17:26:37,GET,STABLE/HEAT,7,9/86,30.0/30.75,30.75
2021-11-10 17:26:40,GET,STABLE/COOL,-1,9/89,30.75/31.75,30.5
2021-11-10 17:26:43,GET,STABLE/COOL,-8,9/92,30.25/30.75,30.5
2021-11-10 17:26:46,GET,STABLE/COOL,-16,9/95,30.0/31.0,31.0
2021-11-10 17:26:49,GET,STABLE/COOL,-9,9/98,29.5/31.0,30.0
2021-11-10 17:26:52,GET,STABLE/COOL,-5,9/101,29.75/30.25,29.75
2021-11-10 17:26:55,GET,STABLE/HEAT,3,9/104,29.0/30.0,29.75
2021-11-10 17:26:58,GET,STABLE/HEAT,2,9/107,29.0/30.0,29.25
2021-11-10 17:27:01,GET,STABLE/HEAT,2,9/110,29.25/30.25,29.75
2021-11-10 17:27:04,GET,STABLE/HEAT,5,9/113,29.25/29.75,29.5
2021-11-10 17:27:07,GET,STABLE/HEAT,2,9/116,29.25/30.0,29.5
2021-11-10 17:27:10,GET,STABLE/HEAT,2,9/119,29.0/29.5,29.75
2021-11-10 17:27:13,GET,STABLE/HEAT,4,9/122,29.0/29.75,28.75
2021-11-10 17:27:16,GET,STABLE/HEAT,4,9/125,28.75/30.0,29.5
2021-11-10 17:27:19,GET,STABLE/HEAT,4,9/128,28.5/30.0,28.75
2021-11-10 17:27:22,GET,STABLE/HEAT,4,9/131,28.75/29.75,29.5
2021-11-10 17:27:25,GET,STABLE/HEAT,4,9/134,29.25/29.5,29.25
2021-11-10 17:27:28,GET,STABLE/HEAT,4,9/137,29.25/29.75,29.0
2021-11-10 17:27:31,GET,STABLE/HEAT,5,9/140,29.0/30.0,29.5
2021-11-10 17:27:34,GET,STABLE/HEAT,5,9/143,29.0/29.5,29.5
2021-11-10 17:27:37,GET,STABLE/HEAT,5,9/146,28.5/29.5,28.75
2021-11-10 17:27:40,GET,STABLE/HEAT,4,9/149,28.75/29.75,29.5
2021-11-10 17:27:43,GET,STABLE/HEAT,5,9/152,29.25/30.0,29.25
2021-11-10 17:27:46,GET,STABLE/HEAT,6,9/155,29.25/30.0,29.5
2021-11-10 17:27:49,GET,STABLE/HEAT,4,9/158,29.0/30.0,29.5
2021-11-10 17:27:52,GET,STABLE/HEAT,6,9/161,29.25/30.0,29.25
2021-11-10 17:27:55,GET,STABLE/HEAT,6,9/164,29.25/30.0,29.25
2021-11-10 17:27:58,GET,STABLE/HEAT,4,9/167,29.25/30.25,30.5
2021-11-10 17:28:01,GET,STABLE/HEAT,5,9/170,29.75/30.5,30.5
2021-11-10 17:28:04,GET,STABLE/HEAT,3,9/173,29.75/30.75,30.0
2021-11-10 17:28:07,GET,STABLE/HEAT,2,9/176,30.25/30.75,30.75
2021-11-10 17:28:10,GET,STABLE/HEAT,3,9/179,29.5/31.0,30.75
2021-11-10 17:28:13,GET,STABLE/HEAT,3,9/182,30.0/30.75,30.0
2021-11-10 17:28:16,GET,STABLE/HEAT,5,9/185,29.75/30.75,30.0
2021-11-10 17:28:19,GET,STABLE/HEAT,3,9/188,29.5/30.25,30.25
2021-11-10 17:28:22,GET,STABLE/HEAT,2,9/191,29.5/30.75,30.5
2021-11-10 17:28:26,GET,STABLE/HEAT,2,9/194,29.25/30.5,30.5
2021-11-10 17:28:29,GET,STABLE/HEAT,2,9/197,29.5/30.75,30.75
2021-11-10 17:28:32,GET,STABLE/HEAT,2,9/200,30.0/30.5,30.5
2021-11-10 17:28:35,GET,STABLE/HEAT,4,9/203,29.75/30.75,30.75
2021-11-10 17:28:38,GET,STABLE/HEAT,2,9/206,29.25/30.75,30.75
2021-11-10 17:28:41,GET,STABLE/HEAT,4,9/209,29.0/30.25,29.5
2021-11-10 17:28:44,GET,STABLE/HEAT,5,9/212,29.25/30.0,29.5
2021-11-10 17:28:47,GET,STABLE/HEAT,2,9/215,29.25/30.5,30.5
2021-11-10 17:28:50,GET,STABLE/HEAT,5,9/218,29.25/30.5,29.75
2021-11-10 17:28:53,GET,STABLE/HEAT,3,9/221,29.75/30.5,30.25
2021-11-10 17:28:56,GET,STABLE/HEAT,2,9/224,29.5/30.5,30.5
2021-11-10 17:28:59,GET,STABLE/HEAT,2,9/227,30.0/30.75,30.0
2021-11-10 17:29:02,GET,STABLE/HEAT,6,9/230,29.25/30.25,30.0
2021-11-10 17:29:05,GET,STABLE/HEAT,7,9/233,29.0/30.25,29.0
2021-11-10 17:29:08,GET,STABLE/HEAT,7,9/236,29.25/30.25,29.25
2021-11-10 17:29:11,GET,STABLE/HEAT,3,9/239,29.5/30.25,30.25
2021-11-10 17:29:14,GET,STABLE/HEAT,2,9/242,29.5/30.5,30.5
2021-11-10 17:29:17,GET,STABLE/HEAT,6,9/245,29.25/30.5,29.25
2021-11-10 17:29:20,GET,STABLE/HEAT,6,9/248,29.5/30.25,29.5
2021-11-10 17:29:23,GET,STABLE/HEAT,2,9/251,29.25/30.5,30.5
2021-11-10 17:29:26,GET,STABLE/HEAT,5,9/254,29.5/30.0,30.0
