Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-15 09:33:22,SET '+OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,24.0
2021-11-15 09:33:22,SET '-OFFSET -0.00',IDLE/OFF,0,0/0,-1/-1,24.0
2021-11-15 09:33:22,SET '25',CYCLE/IDLE,1,0/0,-1/-1,24.0
2021-11-15 09:33:25,GET,CYCLE/HEAT,2,0/3,-1/-1,24.25
2021-11-15 09:33:28,GET,CYCLE/HEAT,4,0/6,-1/-1,23.75
2021-11-15 09:33:31,GET,CYCLE/HEAT,3,0/9,-1/-1,24.0
2021-11-15 09:33:34,GET,CYCLE/HEAT,4,0/12,-1/-1,23.75
2021-11-15 09:33:37,GET,CYCLE/HEAT,6,0/15,-1/-1,23.5
2021-11-15 09:33:40,GET,CYCLE/HEAT,6,0/18,-1/-1,23.5
2021-11-15 09:34:28,GET,AUTO/OFF,0,41/0,23.5/24.25,24.0
2021-11-15 09:34:34,SET '25',CYCLE/HEAT,1,0/0,-1/-1,24.0
2021-11-15 09:34:37,SET 'OFF',IDLE/OFF,0,0/0,-1/-1,24.0
2021-11-15 09:36:24,SET '+OFFSET 0.00',AUTO/OFF,0,0/0,-1/-1,24.25
2021-11-15 09:36:24,SET '-OFFSET -0.00',AUTO/OFF,0,0/0,-1/-1,24.25
2021-11-15 09:36:24,SET '25',CYCLE/HEAT,1,0/0,-1/-1,24.25
2021-11-15 09:36:27,GET,CYCLE/HEAT,3,0/3,-1/-1,23.75
2021-11-15 09:37:00,GET,AUTO/OFF,0,10/0,24.0/25.0,24.25
2021-11-15 09:37:10,SET '25',CYCLE/HEAT,1,0/0,-1/-1,24.5
2021-11-15 09:37:13,GET,STABLE/HEAT,2,0/3,24.25/24.75,24.25
2021-11-15 09:37:16,GET,STABLE/HEAT,3,0/6,24.25/25.0,24.5
2021-11-15 09:37:19,GET,STABLE/HEAT,3,0/9,24.0/24.5,24.5
2021-11-15 09:37:22,GET,STABLE/HEAT,9,0/12,24.75/24.75,24.75
2021-11-15 09:37:25,GET,STABLE/HEAT,13,0/15,24.75/25.0,24.75
2021-11-15 09:37:28,GET,STABLE/HEAT,14,0/18,24.75/25.25,25.0
2021-11-15 09:37:31,GET,STABLE/HEAT,14,0/21,25.0/25.25,25.25
2021-11-15 09:37:34,GET,STABLE/HEAT,16,0/24,24.75/25.5,25.5
2021-11-15 09:37:37,GET,STABLE/HEAT,14,0/27,25.5/25.75,25.5
2021-11-15 09:37:40,GET,STABLE/HEAT,8,0/30,25.25/26.0,25.5
2021-11-15 09:37:42,SET '20',CYCLE/HEAT,5,0/0,-1/-1,25.75
2021-11-15 09:37:45,GET,CYCLE/COOL,-124,0/3,-1/-1,25.25
2021-11-15 09:37:48,GET,CYCLE/COOL,-138,0/6,-1/-1,25.5
2021-11-15 09:37:51,GET,CYCLE/COOL,-154,0/9,-1/-1,25.0
2021-11-15 09:37:54,GET,CYCLE/COOL,-158,0/12,-1/-1,24.5
2021-11-15 09:37:57,GET,CYCLE/COOL,-170,0/15,-1/-1,24.75
2021-11-15 09:38:00,GET,CYCLE/COOL,-186,0/18,-1/-1,24.25
2021-11-15 09:38:03,GET,CYCLE/COOL,-193,0/21,-1/-1,24.25
2021-11-15 09:38:06,GET,CYCLE/COOL,-207,0/24,-1/-1,23.5
2021-11-15 09:38:09,GET,CYCLE/COOL,-216,0/27,-1/-1,24.0
2021-11-15 09:38:12,GET,CYCLE/COOL,-228,0/30,-1/-1,23.75
2021-11-15 09:38:15,GET,CYCLE/COOL,-238,0/33,-1/-1,23.25
2021-11-15 09:38:18,GET,CYCLE/COOL,-249,0/36,-1/-1,23.5
2021-11-15 09:38:21,GET,CYCLE/COOL,-255,0/39,-1/-1,23.5
2021-11-15 09:38:24,GET,CYCLE/COOL,-255,0/42,-1/-1,23.5
2021-11-15 09:38:27,GET,CYCLE/COOL,-255,0/45,-1/-1,23.0
2021-11-15 09:38:30,GET,CYCLE/COOL,-255,0/48,-1/-1,23.0
2021-11-15 09:38:33,GET,CYCLE/COOL,-255,0/51,-1/-1,22.5
2021-11-15 09:38:36,GET,CYCLE/COOL,-255,0/54,-1/-1,22.5
2021-11-15 09:38:39,GET,CYCLE/COOL,-255,0/57,-1/-1,22.5
2021-11-15 09:38:42,GET,CYCLE/COOL,-255,0/60,-1/-1,22.75
2021-11-15 09:38:45,GET,CYCLE/COOL,-255,0/63,-1/-1,22.5
2021-11-15 09:38:48,GET,CYCLE/COOL,-255,0/66,-1/-1,22.75
2021-11-15 09:38:50,SET '21',CYCLE/COOL,-255,0/0,-1/-1,22.5
2021-11-15 09:38:50,SET '22',CYCLE/COOL,-37,0/0,-1/-1,22.0
2021-11-15 09:38:53,SET '23',CYCLE/COOL,-15,0/0,-1/-1,22.75
2021-11-15 09:38:53,SET '24',CYCLE/COOL,-11,0/0,-1/-1,22.75
2021-11-15 09:38:54,SET '25',CYCLE/COOL,-1,0/0,-1/-1,23.0
2021-11-15 09:38:54,SET '26',CYCLE/HEAT,5,0/0,-1/-1,22.5
2021-11-15 09:38:54,SET '25',CYCLE/HEAT,5,0/0,-1/-1,22.75
2021-11-15 09:38:55,SET '24',CYCLE/HEAT,5,0/0,-1/-1,22.75
2021-11-15 09:38:55,SET '23',CYCLE/HEAT,5,0/0,-1/-1,22.75
2021-11-15 09:38:55,SET '22',CYCLE/HEAT,5,0/0,-1/-1,23.0
2021-11-15 09:38:55,SET '21',CYCLE/HEAT,5,0/0,-1/-1,23.25
2021-11-15 09:38:56,SET '22',CYCLE/COOL,-37,0/0,-1/-1,23.25
2021-11-15 09:38:59,GET,CYCLE/COOL,-30,0/3,-1/-1,23.75
2021-11-15 09:39:03,GET,CYCLE/COOL,-45,0/6,-1/-1,23.75
2021-11-15 09:39:06,GET,CYCLE/COOL,-51,0/9,-1/-1,24.25
2021-11-15 09:39:07,SET '23',CYCLE/COOL,-61,0/0,-1/-1,24.0
2021-11-15 09:39:10,GET,STABLE/COOL,-25,0/3,23.75/24.5,24.5
2021-11-15 09:39:13,GET,STABLE/COOL,-38,0/6,24.25/24.75,24.5
2021-11-15 09:39:16,GET,STABLE/COOL,-41,0/9,24.0/24.75,24.5
2021-11-15 09:39:19,GET,STABLE/COOL,-52,0/12,24.75/24.75,24.75
2021-11-15 09:39:22,GET,STABLE/COOL,-59,0/15,24.5/25.0,25.0
2021-11-15 09:39:25,GET,STABLE/COOL,-67,0/18,24.75/25.0,24.75
2021-11-15 09:39:28,GET,STABLE/COOL,-70,0/21,24.5/25.25,24.75
2021-11-15 09:39:31,GET,STABLE/COOL,-80,0/24,24.5/25.0,25.0
