Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-10 14:55:58,GET,CYCLE/COOL,-255,0/108,-1/-1,25.5
2021-12-10 14:56:01,GET,CYCLE/COOL,-255,0/111,-1/-1,25.25
2021-12-10 14:56:05,GET,CYCLE/COOL,-255,0/114,-1/-1,25.5
2021-12-10 14:56:08,GET,CYCLE/COOL,-255,0/117,-1/-1,25.5
2021-12-10 14:56:11,GET,CYCLE/COOL,-255,0/120,-1/-1,24.75
2021-12-10 14:56:14,GET,CYCLE/COOL,-255,0/123,-1/-1,25.25
2021-12-10 14:56:17,GET,CYCLE/COOL,-255,0/126,-1/-1,25.0
2021-12-10 14:56:20,GET,CYCLE/COOL,-255,0/129,-1/-1,25.0
2021-12-10 14:56:23,GET,CYCLE/COOL,-255,0/132,-1/-1,25.5
2021-12-10 14:56:26,GET,CYCLE/COOL,-255,0/135,-1/-1,25.25
2021-12-10 14:56:29,GET,CYCLE/COOL,-255,0/138,-1/-1,25.25
2021-12-10 14:56:32,GET,CYCLE/COOL,-255,0/141,-1/-1,24.75
2021-12-10 14:56:35,GET,CYCLE/COOL,-255,0/144,-1/-1,25.25
2021-12-10 14:56:38,GET,CYCLE/COOL,-255,0/147,-1/-1,25.25
2021-12-10 14:56:41,GET,CYCLE/COOL,-255,0/150,-1/-1,25.25
2021-12-10 14:56:44,GET,CYCLE/COOL,-255,0/153,-1/-1,25.25
2021-12-10 14:57:03,SET '=OFFSET 0.00',CYCLE/COOL,-255,0/172,-1/-1,24.75
2021-12-10 14:57:03,SET '+OFFSET -0.00',CYCLE/COOL,-255,0/172,-1/-1,24.75
2021-12-10 14:57:03,SET '-OFFSET 0.00',CYCLE/COOL,-255,0/172,-1/-1,24.75
2021-12-10 14:57:03,SET '30',CYCLE/COOL,-255,0/0,-1/-1,24.75
2021-12-10 14:57:06,GET,CYCLE/HEAT,54,0/3,-1/-1,24.5
