Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-10 17:25:36,GET,STABLE/HEAT,3,9/24,29.0/30.5,30.0
2021-11-10 17:25:39,GET,STABLE/HEAT,5,9/27,29.5/30.25,30.25
2021-11-10 17:25:42,GET,STABLE/HEAT,5,9/30,29.5/30.25,30.0
2021-11-10 17:25:45,GET,STABLE/HEAT,4,9/33,29.5/30.5,29.5
2021-11-10 17:25:48,GET,STABLE/HEAT,3,9/36,29.75/30.5,29.75
2021-11-10 17:25:51,GET,STABLE/HEAT,4,9/39,29.25/30.25,29.0
2021-11-10 17:25:54,GET,STABLE/HEAT,6,9/42,28.75/30.0,29.5
2021-11-10 17:25:57,GET,STABLE/HEAT,8,9/45,28.75/30.25,30.0
2021-11-10 17:26:00,GET,STABLE/HEAT,3,9/48,29.25/30.5,29.5
2021-11-10 17:26:03,GET,STABLE/HEAT,3,9/51,29.5/30.5,30.25
2021-11-10 17:26:06,GET,STABLE/HEAT,5,9/54,29.5/30.5,30.75
2021-11-10 17:26:09,GET,STABLE/HEAT,2,9/57,29.5/31.0,30.75
