Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-15 13:07:49,GET,STABLE/COOL,-34,0/31,24.75/26.0,25.75
2021-11-15 13:07:52,GET,STABLE/COOL,-27,0/34,25.25/25.5,25.25
2021-11-15 13:07:55,GET,STABLE/COOL,-38,0/37,25.0/25.75,25.75
2021-11-15 13:07:58,GET,STABLE/COOL,-40,0/40,25.25/25.75,25.75
2021-11-15 13:08:01,GET,STABLE/COOL,-37,0/43,25.25/25.75,25.25
2021-11-15 13:08:04,GET,STABLE/COOL,-40,0/46,24.75/26.0,25.5
2021-11-15 13:08:07,GET,STABLE/COOL,-44,0/49,25.0/26.0,25.5
2021-11-15 13:08:09,SET 'OFF',IDLE/OFF,0,0/0,25.0/26.0,25.25
2021-11-16 10:26:05,SET '+OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,23.75
2021-11-16 10:26:05,SET '-OFFSET -0.00',IDLE/OFF,0,0/0,-1/-1,23.75
2021-11-16 10:26:05,SET '25',CYCLE/IDLE,1,0/0,-1/-1,23.75
2021-11-16 10:26:08,GET,CYCLE/HEAT,3,0/3,-1/-1,23.75
2021-11-16 10:26:11,GET,CYCLE/HEAT,4,0/6,-1/-1,23.5
2021-11-16 10:26:14,GET,CYCLE/HEAT,5,0/9,-1/-1,23.5
2021-11-16 10:26:17,GET,CYCLE/HEAT,6,0/12,-1/-1,23.5
2021-11-16 10:26:20,GET,CYCLE/HEAT,5,0/15,-1/-1,23.75
2021-11-16 10:26:23,GET,CYCLE/HEAT,5,0/18,-1/-1,24.25
2021-11-16 10:26:26,GET,STABLE/HEAT,6,20/21,24.25/24.5,24.25
2021-11-16 10:26:29,GET,STABLE/HEAT,4,20/24,24.25/24.75,24.75
2021-11-16 10:26:32,GET,STABLE/HEAT,3,20/27,24.5/25.25,25.25
2021-11-16 10:26:35,GET,STABLE/HEAT,5,20/30,24.75/25.5,24.75
2021-11-16 10:26:38,GET,STABLE/HEAT,2,20/33,24.75/25.5,25.5
2021-11-16 10:26:41,GET,STABLE/HEAT,2,20/36,25.25/25.5,25.5
2021-11-16 10:26:44,GET,STABLE/HEAT,3,20/39,25.5/25.75,25.75
2021-11-16 10:26:47,GET,STABLE/HEAT,3,20/42,25.5/25.75,25.75
2021-11-16 10:26:50,GET,STABLE/HEAT,2,20/45,25.5/25.75,25.5
2021-11-16 10:26:53,GET,STABLE/HEAT,4,20/48,25.75/26.25,26.25
2021-11-16 10:26:56,GET,STABLE/HEAT,4,20/51,25.75/26.25,26.25
2021-11-16 10:26:59,GET,STABLE/COOL,-27,20/54,26.0/26.75,26.5
2021-11-16 10:27:02,GET,STABLE/COOL,-25,20/57,25.5/26.5,26.0
2021-11-16 10:27:05,GET,STABLE/COOL,-27,20/60,26.0/26.25,26.0
2021-11-16 10:27:08,GET,STABLE/COOL,-17,20/63,25.25/25.75,25.25
2021-11-16 10:27:11,GET,STABLE/COOL,-19,20/66,25.25/25.75,25.25
2021-11-16 10:27:14,GET,STABLE/COOL,-23,20/69,25.0/25.75,25.0
2021-11-16 10:27:17,GET,STABLE/COOL,-19,20/72,24.5/25.25,25.25
2021-11-16 10:27:20,GET,STABLE/COOL,-21,20/75,25.0/25.5,25.25
2021-11-16 10:27:23,GET,STABLE/COOL,-14,20/78,24.75/25.25,25.0
2021-11-16 10:27:26,GET,STABLE/COOL,-16,20/81,24.5/25.5,24.75
2021-11-16 10:27:29,GET,STABLE/COOL,-14,20/84,24.75/25.25,24.75
2021-11-16 10:27:32,GET,STABLE/COOL,-16,20/87,24.75/25.25,25.25
2021-11-16 10:27:35,GET,STABLE/COOL,-23,20/90,24.75/25.5,25.5
2021-11-16 10:27:38,GET,STABLE/COOL,-15,20/93,24.5/25.25,25.25
