Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-08 13:18:18,SET '=OFFSET 4.00',AUTO/OFF,0,54/0,29.0/32.75,29.0
2021-12-08 13:18:18,SET '+OFFSET -0.00',AUTO/OFF,0,54/0,-1/-1,29.0
2021-12-08 13:18:18,SET '-OFFSET 0.00',AUTO/OFF,0,54/0,-1/-1,29.0
2021-12-08 13:18:18,SET '30',CYCLE/HEAT,1,0/0,-1/-1,29.0
2021-12-08 13:18:21,GET,STABLE/HEAT,2,1/3,29.0/29.75,29.75
2021-12-08 13:18:24,GET,STABLE/HEAT,4,1/6,28.75/29.75,29.5
2021-12-08 13:18:27,GET,STABLE/HEAT,5,1/9,29.25/29.5,29.25
2021-12-08 13:18:30,GET,STABLE/HEAT,6,1/12,29.25/29.5,29.0
2021-12-08 13:18:33,GET,STABLE/HEAT,8,1/15,29.25/29.5,29.25
2021-12-08 13:18:36,GET,STABLE/HEAT,7,1/18,29.5/30.0,30.0
2021-12-08 13:18:39,GET,STABLE/HEAT,7,1/21,29.25/29.75,29.75
2021-12-08 13:18:42,GET,STABLE/HEAT,7,1/24,29.5/29.75,29.75
2021-12-08 13:18:45,GET,STABLE/HEAT,8,1/27,29.5/30.0,29.75
2021-12-08 13:18:48,GET,STABLE/HEAT,13,1/30,29.0/29.75,29.0
2021-12-08 13:18:49,SET 'OFF',IDLE/OFF,0,1/0,29.25/29.5,29.75
2021-12-08 13:18:50,SET '30',CYCLE/HEAT,1,0/0,-1/-1,29.5
2021-12-08 13:18:53,GET,STABLE/HEAT,3,0/3,29.25/30.0,29.5
2021-12-08 13:18:56,GET,STABLE/HEAT,3,0/6,29.5/29.75,29.5
2021-12-08 13:18:59,GET,STABLE/HEAT,4,0/9,29.25/30.0,29.5
2021-12-08 13:19:02,GET,STABLE/HEAT,3,0/12,29.25/29.75,29.75
2021-12-08 13:19:05,GET,STABLE/HEAT,5,0/15,29.0/29.75,29.5
2021-12-08 13:19:08,GET,STABLE/HEAT,6,0/18,29.25/30.0,29.5
2021-12-08 13:19:11,GET,STABLE/HEAT,8,0/21,29.25/30.0,29.25
2021-12-08 13:19:14,GET,STABLE/HEAT,6,0/24,29.25/30.0,30.0
2021-12-08 13:19:17,GET,STABLE/HEAT,6,0/27,29.25/29.75,29.75
2021-12-08 13:19:20,GET,STABLE/HEAT,7,0/30,29.25/30.0,29.75
2021-12-08 13:19:23,GET,STABLE/HEAT,7,0/33,29.25/30.0,29.75
2021-12-08 13:19:26,GET,STABLE/HEAT,8,0/36,29.5/29.75,29.5
2021-12-08 13:19:29,GET,STABLE/HEAT,8,0/39,29.5/30.0,29.75
2021-12-08 13:19:32,GET,STABLE/HEAT,5,0/42,29.75/30.25,30.25
2021-12-08 13:19:35,GET,STABLE/HEAT,8,0/45,29.25/30.0,29.75
2021-12-08 13:19:38,GET,STABLE/HEAT,9,0/48,29.75/30.0,29.75
2021-12-08 13:19:41,GET,STABLE/HEAT,9,0/51,29.25/30.0,29.75
2021-12-08 13:19:44,GET,STABLE/HEAT,10,0/54,29.5/29.75,29.75
2021-12-08 13:19:47,GET,STABLE/HEAT,10,0/57,29.75/30.0,29.75
2021-12-08 13:19:50,GET,STABLE/HEAT,10,0/60,29.5/30.0,29.75
2021-12-08 13:19:53,GET,STABLE/HEAT,11,0/63,29.5/30.0,30.0
2021-12-08 13:20:43,GET,STABLE/HEAT,14,0/113,29.5/30.25,30.0
2021-12-08 13:20:47,GET,STABLE/HEAT,10,0/116,29.5/30.25,30.25
2021-12-08 13:20:50,GET,STABLE/HEAT,13,0/119,29.75/30.25,29.75
