Date,Time,Relative_time,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Left,Right
2022-08-30,16:03:50,0.0573,25.25,2751,5029938.0,0.00010908075902796648,270.0,271.0
2022-08-30,16:03:50,0.0,25.25,2751,5029938.0,0.00010908075902796648,270.0,271.0
2022-08-30,16:03:50,0.001,25.25,2755,5029715.0,0.00010838511934771464,493.0,494.0
2022-08-30,16:03:50,0.0037,25.25,2784,5029681.0,0.0001034726566295461,459.0,459.0
2022-08-30,16:03:50,0.0068,25.25,2793,5029687.0,0.00010199385212345891,453.0,453.0
2022-08-30,16:03:50,0.0098,25.25,2795,5029690.0,0.00010166810974603038,456.0,456.0
2022-08-30,16:03:50,0.0127,25.25,2797,5029676.0,0.00010134340770676189,469.0,470.0
2022-08-30,16:03:50,0.0157,25.25,2798,5029669.0,0.00010118144577521799,462.0,462.0
2022-08-30,16:03:50,0.0188,25.25,2798,5029675.0,0.00010118144577521799,456.0,456.0
2022-08-30,16:03:50,0.0218,25.25,2799,5029675.0,0.00010101974268307838,456.0,456.0
2022-08-30,16:03:50,0.0248,25.25,2800,5029678.0,0.00010085829801667877,453.0,453.0
2022-08-30,16:03:50,0.0278,25.25,2803,5029676.0,0.00010037551044518975,451.0,452.0
2022-08-30,16:03:50,0.0306,25.25,2802,5029681.0,0.00010053618230974793,447.0,447.0
2022-08-30,16:03:50,0.0335,25.25,2804,5029678.0,0.00010021509535831557,444.0,444.0
2022-08-30,16:03:50,0.0365,25.25,2806,5029669.0,9.989503387679871e-05,453.0,453.0
2022-08-30,16:03:50,0.0394,25.25,2806,5029675.0,9.989503387679871e-05,459.0,459.0
2022-08-30,16:03:50,0.0425,25.25,2805,5029669.0,0.00010005493663875638,465.0,465.0
2022-08-30,16:03:50,0.0456,25.25,2804,5029663.0,0.00010021509535831557,459.0,459.0
2022-08-30,16:03:50,0.0485,25.25,2805,5029664.0,0.00010005493663875638,457.0,458.0
2022-08-30,16:03:50,0.0514,25.25,2804,5029667.0,0.00010021509535831557,460.0,461.0
2022-08-30,16:03:50,0.0544,25.25,2805,5029672.0,0.00010005493663875638,456.0,456.0
2022-08-30,16:03:50,0.0575,25.25,2808,5029666.0,9.957599459010775e-05,450.0,450.0
2022-08-30,16:03:50,0.0606,25.25,2807,5029660.0,9.973538666338417e-05,456.0,456.0
2022-08-30,16:03:50,0.0636,25.25,2808,5029666.0,9.957599459010775e-05,462.0,462.0
2022-08-30,16:03:50,0.0665,25.25,2810,5029672.0,9.925797423361282e-05,456.0,456.0
