Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-11-10 17:20:52,SET '+OFFSET 0.00',IDLE/OFF,0,0/0,0.0/-1,25.25
2021-11-10 17:20:52,SET '-OFFSET -0.00',IDLE/OFF,0,0/0,-1/-1,25.25
2021-11-10 17:20:52,SET '25',CYCLE/IDLE,1,0/0,-1/-1,25.25
2021-11-10 17:20:55,GET,STABLE/COOL,-6,0/3,24.5/25.5,24.5
2021-11-10 17:20:58,GET,STABLE/COOL,-5,0/6,25.0/25.5,25.25
2021-11-10 17:21:00,SET '30',CYCLE/COOL,-11,0/0,-1/-1,25.25
2021-11-10 17:21:03,GET,CYCLE/HEAT,11,0/3,-1/-1,25.5
2021-11-10 17:21:06,GET,CYCLE/HEAT,16,0/6,-1/-1,25.5
2021-11-10 17:21:09,GET,CYCLE/HEAT,14,0/9,-1/-1,26.0
2021-11-10 17:21:12,GET,CYCLE/HEAT,15,0/12,-1/-1,26.5
2021-11-10 17:21:15,GET,CYCLE/HEAT,18,0/15,-1/-1,26.25
2021-11-10 17:21:18,GET,CYCLE/HEAT,17,0/18,-1/-1,27.0
2021-11-10 17:21:21,GET,CYCLE/HEAT,19,0/21,-1/-1,27.25
2021-11-10 17:21:24,GET,CYCLE/HEAT,20,0/24,-1/-1,27.25
2021-11-10 17:21:27,GET,CYCLE/HEAT,18,0/27,-1/-1,28.5
2021-11-10 17:21:30,GET,CYCLE/HEAT,19,0/30,-1/-1,28.25
2021-11-10 17:21:33,GET,CYCLE/HEAT,19,0/33,-1/-1,28.5
2021-11-10 17:21:36,GET,STABLE/HEAT,19,35/36,29.0/29.0,29.5
2021-11-10 17:21:51,GET,STABLE/HEAT,13,35/51,29.25/31.75,32.5
2021-11-10 17:21:54,GET,STABLE/HEAT,5,35/54,32.0/33.5,32.5
2021-11-10 17:21:57,GET,STABLE/HEAT,8,35/57,32.5/33.25,33.25
2021-11-10 17:22:00,GET,STABLE/HEAT,4,35/60,32.5/33.5,32.0
