Date,Time,Relative_time,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation
2021-12-08,13:20:12,0.1363,29.5,2292,14256539.0,0.00013122338106066628
2021-12-08,13:20:12,0.138,29.5,2286,14256712.0,0.00013248873702866618
2021-12-08,13:20:12,0.1407,29.5,2289,14256564.0,0.00013185454116320405
2021-12-08,13:20:12,0.1433,29.5,2285,14256567.0,0.0001327008127861587
2021-12-08,13:20:12,0.146,29.5,2287,14256573.0,0.00013227700019997126
2021-12-08,13:20:12,0.1486,29.5,2288,14256579.0,0.00013206560175841497
2021-12-08,13:20:12,0.1514,29.5,2288,14256567.0,0.00013206560175841497
2021-12-08,13:20:12,0.1541,29.5,2288,14256567.0,0.00013206560175841497
2021-12-08,13:20:12,0.1568,29.5,2289,14256576.0,0.00013185454116320405
2021-12-08,13:20:12,0.1594,29.5,2289,14256573.0,0.00013185454116320405
2021-12-08,13:20:12,0.1621,29.5,2286,14256564.0,0.00013248873702866618
2021-12-08,13:20:12,0.1647,29.5,2287,14256549.0,0.00013227700019997126
2021-12-08,13:20:12,0.1673,29.5,2290,14256558.0,0.00013164381787440945
2021-12-08,13:20:12,0.1699,29.5,2290,14256567.0,0.00013164381787440945
2021-12-08,13:20:12,0.1725,29.5,2289,14256564.0,0.00013185454116320405
2021-12-08,13:20:12,0.1751,29.5,2290,14256561.0,0.00013164381787440945
2021-12-08,13:20:12,0.1777,29.5,2323,14256558.0,0.00012487569472109143
2021-12-08,13:20:12,0.1798,29.5,2356,14256486.0,0.00011845553694706816
2021-12-08,13:20:12,0.1817,29.5,2323,14256498.0,0.00012487569472109143
2021-12-08,13:20:12,0.1844,29.5,2288,14256579.0,0.00013206560175841497
2021-12-08,13:20:12,0.187,29.5,2289,14256576.0,0.00013185454116320405
2021-12-08,13:20:12,0.1897,29.5,2289,14256582.0,0.00013185454116320405
2021-12-08,13:20:12,0.1924,29.5,2287,14256573.0,0.00013227700019997126
2021-12-08,13:20:12,0.1951,29.5,2288,14256567.0,0.00013206560175841497
2021-12-08,13:20:12,0.1978,29.5,2289,14256570.0,0.00013185454116320405
2021-12-08,13:20:12,0.2004,29.5,2289,14256570.0,0.00013185454116320405
2021-12-08,13:20:12,0.2031,29.5,2289,14256570.0,0.00013185454116320405
2021-12-08,13:20:12,0.2058,29.5,2288,14256570.0,0.00013206560175841497
2021-12-08,13:20:12,0.2085,29.5,2288,14256567.0,0.00013206560175841497
2021-12-08,13:20:12,0.2111,29.5,2288,14256558.0,0.00013206560175841497
2021-12-08,13:20:12,0.2137,29.5,2290,14256564.0,0.00013164381787440945
2021-12-08,13:20:12,0.2163,29.5,2289,14256573.0,0.00013185454116320405
2021-12-08,13:20:12,0.2189,29.5,2288,14256582.0,0.00013206560175841497
2021-12-08,13:20:12,0.2215,29.5,2289,14256579.0,0.00013185454116320405
2021-12-08,13:20:12,0.2241,29.5,2289,14256570.0,0.00013185454116320405
2021-12-08,13:20:12,0.2267,29.5,2289,14256567.0,0.00013185454116320405
2021-12-08,13:20:12,0.2291,29.5,2332,14256591.0,0.00012309100351793164
2021-12-08,13:20:12,0.2306,29.5,2369,14256483.0,0.00011601797196460732
2021-12-08,13:20:12,0.2325,29.5,2327,14256447.0,0.00012407932614865848
2021-12-08,13:20:12,0.2353,29.5,2289,14256561.0,0.00013185454116320405
2021-12-08,13:20:12,0.238,29.5,2288,14256570.0,0.00013206560175841497
2021-12-08,13:20:12,0.2406,29.5,2288,14256564.0,0.00013206560175841497
2021-12-08,13:20:12,0.2433,29.5,2288,14256564.0,0.00013206560175841497
2021-12-08,13:20:12,0.246,29.5,2288,14256576.0,0.00013206560175841497
2021-12-08,13:20:12,0.2488,29.5,2290,14256573.0,0.00013164381787440945
2021-12-08,13:20:12,0.2514,29.5,2290,14256558.0,0.00013164381787440945
2021-12-08,13:20:12,0.254,29.5,2291,14256558.0,0.0001314334313529651
2021-12-08,13:20:12,0.2567,29.5,2291,14256564.0,0.0001314334313529651
2021-12-08,13:20:12,0.2593,29.5,2290,14256570.0,0.00013164381787440945
2021-12-08,13:20:12,0.262,29.5,2289,14256579.0,0.00013185454116320405
2021-12-08,13:20:12,0.2648,29.5,2288,14256576.0,0.00013206560175841497
