Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-07 16:52:09,GET,STABLE/HEAT,15,11/570,31.75/32.0,31.75
2021-12-07 16:52:12,GET,STABLE/HEAT,15,11/573,31.25/32.25,31.75
2021-12-07 16:52:15,GET,STABLE/HEAT,19,11/576,31.25/31.75,31.25
2021-12-07 16:52:18,GET,STABLE/HEAT,20,11/579,31.25/31.75,31.25
2021-12-07 16:52:21,GET,STABLE/HEAT,18,11/582,31.25/31.75,31.75
2021-12-07 16:52:24,GET,STABLE/HEAT,18,11/585,31.25/31.75,31.75
2021-12-07 16:52:27,GET,STABLE/HEAT,19,11/588,31.25/31.75,31.5
2021-12-07 16:52:28,SET '37',CYCLE/HEAT,19,0/0,-1/-1,31.5
2021-12-07 16:52:30,SET '36',CYCLE/HEAT,31,0/0,-1/-1,31.5
2021-12-07 16:52:30,SET '35',CYCLE/HEAT,31,0/0,-1/-1,31.5
2021-12-07 16:56:19,GET,STABLE/HEAT,86,124/229,33.75/35.75,35.75
2021-12-07 16:56:22,GET,STABLE/HEAT,85,124/232,35.25/35.75,35.75
2021-12-07 16:56:25,GET,STABLE/HEAT,84,124/235,35.5/35.75,35.5
2021-12-07 16:56:28,GET,STABLE/HEAT,83,124/238,35.25/35.75,35.75
2021-12-07 16:56:31,GET,STABLE/HEAT,83,124/241,35.5/35.75,35.75
2021-12-07 16:56:34,GET,STABLE/HEAT,82,124/244,35.0/35.75,35.5
2021-12-07 16:56:37,GET,STABLE/HEAT,81,124/247,35.25/35.75,35.25
2021-12-07 16:56:40,GET,STABLE/HEAT,81,124/250,35.25/35.75,35.5
2021-12-07 16:56:43,GET,STABLE/HEAT,79,124/253,35.0/35.75,35.5
2021-12-07 16:56:46,GET,STABLE/HEAT,78,124/256,35.5/35.75,35.75
2021-12-07 16:56:49,GET,STABLE/HEAT,79,124/259,35.25/35.75,35.25
2021-12-07 16:56:52,GET,STABLE/HEAT,77,124/262,35.25/35.75,35.75
2021-12-07 16:56:55,GET,STABLE/HEAT,78,124/265,35.5/35.5,35.75
2021-12-07 16:56:58,GET,STABLE/HEAT,78,124/268,35.25/36.0,35.25
2021-12-07 16:57:01,GET,STABLE/HEAT,76,124/271,35.5/35.75,35.25
2021-12-07 16:57:04,GET,STABLE/HEAT,75,124/274,35.0/35.75,35.5
2021-12-07 16:57:07,GET,STABLE/HEAT,80,124/277,34.5/35.75,35.5
2021-12-07 16:57:10,GET,STABLE/HEAT,74,124/280,35.25/35.5,35.5
2021-12-07 16:57:13,GET,STABLE/HEAT,74,124/283,35.0/35.5,35.25
2021-12-07 16:57:16,GET,STABLE/HEAT,75,124/286,35.0/35.5,35.25
2021-12-07 16:57:19,GET,STABLE/HEAT,74,124/289,35.0/35.5,35.25
2021-12-07 16:57:22,GET,STABLE/HEAT,72,124/292,35.0/35.5,35.25
2021-12-07 16:57:25,GET,STABLE/HEAT,72,124/295,35.25/35.75,35.5
2021-12-07 16:57:28,GET,STABLE/HEAT,73,124/298,35.25/35.5,35.5
2021-12-07 16:57:31,GET,STABLE/HEAT,72,124/301,35.0/35.5,35.0
2021-12-07 16:57:34,GET,STABLE/HEAT,72,124/304,35.25/35.5,35.25
2021-12-07 16:57:50,SET '25',CYCLE/HEAT,70,0/0,-1/-1,34.75
2021-12-07 16:57:53,GET,CYCLE/COOL,-255,0/3,-1/-1,35.0
2021-12-07 17:01:07,GET,CYCLE/COOL,-255,0/197,-1/-1,27.75
