Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-07 17:12:46,GET,STABLE/HEAT,9,0/96,29.25/30.5,30.0
2021-12-07 17:12:49,GET,STABLE/HEAT,5,0/99,29.5/30.5,29.5
2021-12-07 17:12:49,SET 'OFF',IDLE/OFF,0,0/0,-1/-1,29.5
2021-12-08 11:31:26,SET '=OFFSET 4.00',IDLE/OFF,0,0/0,0.0/-1,28.75
2021-12-08 11:31:26,SET '+OFFSET -0.00',IDLE/OFF,0,0/0,-1/-1,28.75
2021-12-08 11:31:26,SET '-OFFSET 0.00',IDLE/OFF,0,0/0,-1/-1,28.75
2021-12-08 11:31:26,SET '25',CYCLE/IDLE,1,0/0,-1/-1,28.75
2021-12-08 11:31:29,GET,CYCLE/COOL,-127,0/3,-1/-1,28.75
2021-12-08 11:31:32,GET,CYCLE/COOL,-170,0/6,-1/-1,29.25
2021-12-08 11:31:35,GET,CYCLE/COOL,-199,0/9,-1/-1,29.25
2021-12-08 11:31:36,SET '26',CYCLE/COOL,-198,0/0,-1/-1,28.5
2021-12-08 11:31:36,SET '27',CYCLE/COOL,-78,0/0,-1/-1,28.5
2021-12-08 11:31:37,SET '28',CYCLE/COOL,-78,0/0,-1/-1,29.0
2021-12-08 11:31:40,GET,STABLE/COOL,-18,2/3,28.5/29.25,29.0
2021-12-08 11:31:43,GET,STABLE/COOL,-24,2/6,28.5/29.25,29.0
2021-12-08 11:31:46,GET,STABLE/COOL,-50,2/9,28.5/29.25,28.75
2021-12-08 11:31:49,GET,STABLE/COOL,-49,2/12,28.5/29.0,29.0
2021-12-08 11:31:52,GET,STABLE/COOL,-56,2/15,28.5/29.25,28.75
2021-12-08 11:40:11,GET,STABLE/COOL,-255,2/514,26.5/32.75,29.5
2021-12-08 11:40:14,GET,STABLE/COOL,-255,2/517,29.5/30.0,29.75
2021-12-08 11:40:17,GET,STABLE/COOL,-255,2/520,29.5/29.75,29.75
2021-12-08 11:40:20,GET,STABLE/COOL,-255,2/523,29.75/30.0,30.0
2021-12-08 11:40:23,GET,STABLE/COOL,-255,2/526,29.75/30.0,30.0
