Date/Time,Command,Status/Mode,Power(raw),Stable/Total(sec),Min/Max(C),Temp(C)
2021-12-07 17:08:04,GET,STABLE/HEAT,2,46/413,30.0/30.5,30.5
2021-12-07 17:08:07,GET,STABLE/HEAT,3,46/416,29.75/30.5,30.25
2021-12-07 17:08:10,GET,STABLE/HEAT,3,46/419,29.25/30.25,30.25
2021-12-07 17:08:13,GET,STABLE/HEAT,3,46/422,29.25/30.5,30.25
2021-12-07 17:11:09,SET '=OFFSET 4.00',AUTO/OFF,0,46/0,29.25/30.5,29.5
2021-12-07 17:11:09,SET '+OFFSET -0.00',AUTO/OFF,0,46/0,-1/-1,29.5
2021-12-07 17:11:09,SET '-OFFSET 0.00',AUTO/OFF,0,46/0,-1/-1,29.5
2021-12-07 17:11:09,SET '30',CYCLE/HEAT,1,0/0,-1/-1,29.5
2021-12-07 17:11:12,GET,STABLE/HEAT,4,0/3,29.5/30.0,30.0
2021-12-07 17:12:02,GET,STABLE/HEAT,6,0/53,29.25/30.25,29.75
