Date,Time,Relative_time,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Left,Right
2022-08-30,16:04:10,0.0562,25.13,2784,5029916.0,0.0001034726566295461,264.0,265.0
2022-08-30,16:04:10,0.0,25.13,2784,5029916.0,0.0001034726566295461,264.0,265.0
2022-08-30,16:04:10,0.0011,25.13,2780,5029692.0,0.00010413676703700584,489.0,489.0
2022-08-30,16:04:10,0.0038,25.13,2803,5029665.0,0.00010037551044518975,462.0,462.0
2022-08-30,16:04:10,0.0068,25.13,2808,5029668.0,9.957599459010775e-05,459.0,459.0
2022-08-30,16:04:10,0.0097,25.13,2814,5029659.0,9.862497730479046e-05,450.0,450.0
2022-08-30,16:04:10,0.0127,25.13,2818,5029659.0,9.799601718122223e-05,450.0,450.0
2022-08-30,16:04:10,0.0156,25.13,2820,5029654.0,9.768304287002061e-05,445.0,446.0
2022-08-30,16:04:10,0.0186,25.13,2819,5029647.0,9.783940488067483e-05,453.0,453.0
2022-08-30,16:04:10,0.0216,25.13,2818,5029650.0,9.799601718122223e-05,456.0,456.0
2022-08-30,16:04:10,0.0246,25.13,2823,5029651.0,9.72154545806061e-05,454.0,455.0
2022-08-30,16:04:10,0.0275,25.13,2824,5029653.0,9.706008973590551e-05,456.0,456.0
2022-08-30,16:04:10,0.0304,25.13,2821,5029656.0,9.752693074925908e-05,453.0,453.0
2022-08-30,16:04:10,0.0334,25.13,2821,5029656.0,9.752693074925908e-05,453.0,453.0
2022-08-30,16:04:10,0.0363,25.13,2824,5029659.0,9.706008973590551e-05,450.0,450.0
2022-08-30,16:04:10,0.0393,25.13,2825,5029656.0,9.690497318747714e-05,447.0,447.0
2022-08-30,16:04:10,0.0423,25.13,2825,5029656.0,9.690497318747714e-05,447.0,447.0
2022-08-30,16:04:10,0.0453,25.13,2825,5029650.0,9.690497318747714e-05,441.0,441.0
2022-08-30,16:04:10,0.0481,25.13,2826,5029642.0,9.675010453850625e-05,448.0,449.0
2022-08-30,16:04:10,0.051,25.13,2827,5029647.0,9.659548339281259e-05,453.0,453.0
2022-08-30,16:04:10,0.0539,25.13,2827,5029642.0,9.659548339281259e-05,457.0,458.0
2022-08-30,16:04:10,0.0571,25.13,2824,5029647.0,9.706008973590551e-05,462.0,462.0
2022-08-30,16:04:10,0.0601,25.13,2823,5029662.0,9.72154545806061e-05,447.0,447.0
2022-08-30,16:04:10,0.063,25.13,2825,5029659.0,9.690497318747714e-05,444.0,444.0
2022-08-30,16:04:10,0.0659,25.13,2828,5029648.0,9.644110935484867e-05,454.0,455.0
2022-08-30,16:04:10,0.0689,25.13,2829,5029651.0,9.628698202969958e-05,457.0,458.0
