Relative_time,Resonance_Frequency,Dissipation,target
0.0541,15175964.0,3.253120581205106e-05,0
0.082,15176315.0,3.402119772970862e-05,0
0.1127,15176218.0,3.273999828970383e-05,0
0.1173,15176220.0,3.300287437581e-05,0
0.1219,15176220.0,3.300287437581e-05,0
0.1265,15176220.0,3.295013084368136e-05,0
0.1311,15176220.0,3.295013084368136e-05,0
0.1356,15176220.0,3.295013084368136e-05,0
0.1401,15176220.0,3.295013084368136e-05,0
0.1447,15176220.0,3.295013084368136e-05,0
0.1493,15176220.0,3.295013084368136e-05,0
0.1539,15176219.0,3.289747160361017e-05,0
0.1584,15176219.0,3.289747160361017e-05,0
0.1629,15176220.0,3.295013084368136e-05,0
0.1675,15176220.0,3.289747160361017e-05,0
0.1721,15176220.0,3.289747160361017e-05,0
0.1767,15176219.0,3.295013084368136e-05,0
0.1813,15176219.0,3.289747160361017e-05,0
0.1859,15176220.0,3.289747160361017e-05,0
0.1904,15176220.0,3.295013084368136e-05,0
0.1949,15176219.0,3.295013084368136e-05,0
0.1995,15176220.0,3.295013084368136e-05,0
0.2041,15176219.0,3.295013084368136e-05,0
0.2087,15176220.0,3.295013084368136e-05,0
0.2132,15176220.0,3.295013084368136e-05,0
0.2177,15176220.0,3.295013084368136e-05,0
0.2223,15176220.0,3.289747160361017e-05,0
0.2269,15176220.0,3.284489652088503e-05,0
0.2315,15176220.0,3.284489652088503e-05,0
0.2361,15176220.0,3.284489652088503e-05,0
0.2406,15176220.0,3.284489652088503e-05,0
0.245,15176220.0,3.289747160361017e-05,0
0.2497,15176220.0,3.289747160361017e-05,0
0.2543,15176220.0,3.284489652088503e-05,0
0.2587,15176219.0,3.284489652088503e-05,0
0.2632,15176220.0,3.289747160361017e-05,0
0.2678,15176220.0,3.289747160361017e-05,0
0.2724,15176220.0,3.289747160361017e-05,0
0.277,15176220.0,3.289747160361017e-05,0
0.2817,15176219.0,3.284489652088503e-05,0
0.2863,15176219.0,3.284489652088503e-05,0
0.2907,15176219.0,3.284489652088503e-05,0
0.2952,15176219.0,3.284489652088503e-05,0
0.2998,15176219.0,3.284489652088503e-05,0
0.3044,15176219.0,3.284489652088503e-05,0
0.3089,15176220.0,3.284489652088503e-05,0
0.3134,15176220.0,3.279240546100996e-05,0
0.318,15176220.0,3.279240546100996e-05,0
0.3226,15176220.0,3.284489652088503e-05,0
0.3272,15176220.0,3.284489652088503e-05,0
0.3318,15176219.0,3.279240546100996e-05,0
0.3363,15176220.0,3.279240546100996e-05,0
0.3408,15176220.0,3.279240546100996e-05,0
0.3454,15176220.0,3.279240546100996e-05,0
0.35,15176220.0,3.279240546100996e-05,0
0.3546,15176219.0,3.279240546100996e-05,0
0.3591,15176220.0,3.279240546100996e-05,0
0.3636,15176220.0,3.279240546100996e-05,0
0.3682,15176220.0,3.284489652088503e-05,0
0.3728,15176219.0,3.279240546100996e-05,0
0.3774,15176219.0,3.273999828970383e-05,0
0.382,15176220.0,3.273999828970383e-05,0
0.3865,15176220.0,3.273999828970383e-05,0
0.391,15176220.0,3.273999828970383e-05,0
0.3956,15176220.0,3.268767487290021e-05,0
0.4002,15176220.0,3.268767487290021e-05,0
0.4048,15176220.0,3.273999828970383e-05,0
0.4093,15176220.0,3.273999828970383e-05,0
0.4137,15176220.0,3.273999828970383e-05,0
0.4184,15176220.0,3.273999828970383e-05,0
0.423,15176220.0,3.273999828970383e-05,0
0.4274,15176220.0,3.273999828970383e-05,0
