Relative_time,Resonance_Frequency,Dissipation,target
0.054,15280867.0,2.710897921680211e-05,0
0.0821,15281218.0,2.844145747591892e-05,0
0.1128,15281124.0,2.728297064429532e-05,0
0.1174,15281126.0,2.759014704890972e-05,0
0.122,15281126.0,2.759014704890972e-05,0
0.1265,15281126.0,2.759014704890972e-05,0
0.131,15281126.0,2.759014704890972e-05,0
0.1355,15281126.0,2.754605386506345e-05,0
0.14,15281126.0,2.754605386506345e-05,0
0.1446,15281126.0,2.759014704890972e-05,0
0.1491,15281127.0,2.759014704890972e-05,0
0.1537,15281127.0,2.759014704890972e-05,0
0.1582,15281127.0,2.754605386506345e-05,0
0.1627,15281127.0,2.754605386506345e-05,0
0.1672,15281127.0,2.754605386506345e-05,0
0.1718,15281127.0,2.754605386506345e-05,0
0.1762,15281127.0,2.754605386506345e-05,0
0.1808,15281127.0,2.750203114872354e-05,0
0.1853,15281127.0,2.754605386506345e-05,0
0.1899,15281126.0,2.754605386506345e-05,0
0.1944,15281126.0,2.750203114872354e-05,0
0.199,15281127.0,2.750203114872354e-05,0
0.2035,15281127.0,2.750203114872354e-05,0
0.208,15281127.0,2.754605386506345e-05,0
0.2125,15281127.0,2.759014704890972e-05,0
0.2171,15281126.0,2.754605386506345e-05,0
0.2216,15281127.0,2.750203114872354e-05,0
0.2262,15281127.0,2.754605386506345e-05,0
0.2306,15281127.0,2.759014704890972e-05,0
0.2351,15281126.0,2.759014704890972e-05,0
0.2397,15281127.0,2.754605386506345e-05,0
0.2443,15281127.0,2.754605386506345e-05,0
0.2488,15281127.0,2.754605386506345e-05,0
0.2532,15281127.0,2.754605386506345e-05,0
0.2578,15281127.0,2.754605386506345e-05,0
0.2623,15281127.0,2.754605386506345e-05,0
0.2669,15281127.0,2.759014704890972e-05,0
0.2714,15281127.0,2.759014704890972e-05,0
0.276,15281127.0,2.754605386506345e-05,0
0.2804,15281127.0,2.754605386506345e-05,0
0.2849,15281127.0,2.759014704890972e-05,0
0.2895,15281127.0,2.759014704890972e-05,0
0.2941,15281127.0,2.754605386506345e-05,0
0.2986,15281127.0,2.754605386506345e-05,0
0.3031,15281127.0,2.759014704890972e-05,0
0.3076,15281127.0,2.759014704890972e-05,0
0.3121,15281127.0,2.759014704890972e-05,0
0.3167,15281127.0,2.754605386506345e-05,0
0.3211,15281127.0,2.750203114872354e-05,0
0.3257,15281127.0,2.750203114872354e-05,0
0.3302,15281127.0,2.750203114872354e-05,0
0.3348,15281127.0,2.754605386506345e-05,0
0.3393,15281127.0,2.754605386506345e-05,0
0.3438,15281127.0,2.754605386506345e-05,0
0.3483,15281127.0,2.754605386506345e-05,0
0.3528,15281127.0,2.750203114872354e-05,0
0.3574,15281127.0,2.750203114872354e-05,0
0.3619,15281127.0,2.750203114872354e-05,0
0.3665,15281127.0,2.750203114872354e-05,0
0.371,15281127.0,2.754605386506345e-05,0
0.3755,15281127.0,2.754605386506345e-05,0
0.38,15281127.0,2.750203114872354e-05,0
0.3846,15281127.0,2.750203114872354e-05,0
0.3891,15281127.0,2.754605386506345e-05,0
0.3936,15281127.0,2.754605386506345e-05,0
0.3981,15281127.0,2.750203114872354e-05,0
0.4027,15281127.0,2.750203114872354e-05,0
0.4072,15281127.0,2.754605386506345e-05,0
0.4117,15281127.0,2.754605386506345e-05,0
0.4162,15281127.0,2.750203114872354e-05,0
0.4207,15281127.0,2.750203114872354e-05,0
0.4253,15281127.0,2.750203114872354e-05,0
0.4298,15281127.0,2.750203114872354e-05,0
0.4343,15281127.0,2.750203114872354e-05,0
0.4388,15281127.0,2.750203114872354e-05,0
0.4434,15281127.0,2.750203114872354e-05,0
0.4479,15281127.0,2.750203114872354e-05,0
0.4525,15281127.0,2.754605386506345e-05,0
0.457,15281127.0,2.754605386506345e-05,0
0.4615,15281127.0,2.750203114872354e-05,0
0.466,15281127.0,2.750203114872354e-05,0
0.4705,15281127.0,2.754605386506345e-05,0
0.4751,15281127.0,2.754605386506345e-05,0
0.4796,15281127.0,2.750203114872354e-05,0
0.4842,15281126.0,2.750203114872354e-05,0
0.4887,15281126.0,2.750203114872354e-05,0
0.4932,15281127.0,2.750203114872354e-05,0
0.4977,15281127.0,2.750203114872354e-05,0
0.5022,15281126.0,2.754605386506345e-05,0
0.5068,15281126.0,2.754605386506345e-05,0
0.5114,15281127.0,2.750203114872354e-05,0
0.5159,15281127.0,2.750203114872354e-05,0
0.5204,15281127.0,2.750203114872354e-05,0
0.5249,15281127.0,2.750203114872354e-05,0
