Relative_time,Resonance_Frequency,Dissipation,target
0.0542,14939909.0,2.68930494685718e-05,0
0.0823,14940276.0,2.857825560649389e-05,0
0.113,14940196.0,2.73703846794651e-05,0
0.1175,14940196.0,2.750203114872354e-05,0
0.122,14940196.0,2.754605386506345e-05,0
0.1266,14940197.0,2.759014704890972e-05,0
0.1311,14940197.0,2.759014704890972e-05,0
0.1356,14940197.0,2.759014704890972e-05,0
0.1402,14940197.0,2.754605386506345e-05,0
0.1447,14940197.0,2.754605386506345e-05,0
0.1491,14940197.0,2.754605386506345e-05,0
0.1537,14940197.0,2.754605386506345e-05,0
0.1582,14940197.0,2.754605386506345e-05,0
0.1627,14940197.0,2.754605386506345e-05,0
0.1673,14940196.0,2.759014704890972e-05,0
0.1718,14940196.0,2.759014704890972e-05,0
0.1763,14940197.0,2.754605386506345e-05,0
0.1808,14940197.0,2.754605386506345e-05,0
0.1852,14940197.0,2.754605386506345e-05,0
0.1898,14940197.0,2.754605386506345e-05,0
0.1943,14940196.0,2.754605386506345e-05,0
0.1988,14940196.0,2.754605386506345e-05,0
0.2034,14940196.0,2.759014704890972e-05,0
0.2079,14940196.0,2.754605386506345e-05,0
0.2124,14940196.0,2.750203114872354e-05,0
0.217,14940196.0,2.754605386506345e-05,0
0.2215,14940197.0,2.754605386506345e-05,0
0.2259,14940196.0,2.750203114872354e-05,0
0.2304,14940196.0,2.750203114872354e-05,0
0.2349,14940197.0,2.754605386506345e-05,0
0.2395,14940197.0,2.754605386506345e-05,0
0.244,14940197.0,2.754605386506345e-05,0
0.2485,14940197.0,2.754605386506345e-05,0
0.2531,14940197.0,2.754605386506345e-05,0
0.2576,14940197.0,2.759014704890972e-05,0
0.262,14940196.0,2.759014704890972e-05,0
0.271,14940197.0,2.759014704890972e-05,0
0.2755,14940196.0,2.759014704890972e-05,0
0.28,14940196.0,2.759014704890972e-05,0
0.2846,14940197.0,2.754605386506345e-05,0
0.289,14940197.0,2.754605386506345e-05,0
0.2935,14940197.0,2.754605386506345e-05,0
0.2981,14940196.0,2.750203114872354e-05,0
0.3026,14940196.0,2.750203114872354e-05,0
0.3071,14940196.0,2.750203114872354e-05,0
0.3116,14940197.0,2.750203114872354e-05,0
0.3161,14940197.0,2.754605386506345e-05,0
0.3207,14940197.0,2.754605386506345e-05,0
0.3251,14940196.0,2.750203114872354e-05,0
0.3296,14940197.0,2.750203114872354e-05,0
0.3341,14940197.0,2.754605386506345e-05,0
0.3432,14940197.0,2.750203114872354e-05,0
0.3477,14940196.0,2.750203114872354e-05,0
0.3521,14940197.0,2.754605386506345e-05,0
0.3568,14940197.0,2.754605386506345e-05,0
0.3612,14940197.0,2.754605386506345e-05,0
0.3657,14940197.0,2.754605386506345e-05,0
0.3703,14940197.0,2.750203114872354e-05,0
0.3748,14940197.0,2.750203114872354e-05,0
0.3793,14940197.0,2.754605386506345e-05,0
0.3839,14940197.0,2.754605386506345e-05,0
0.3884,14940197.0,2.754605386506345e-05,0
0.3929,14940197.0,2.754605386506345e-05,0
0.3975,14940196.0,2.750203114872354e-05,0
0.4019,14940197.0,2.750203114872354e-05,0
0.4064,14940197.0,2.754605386506345e-05,0
0.4154,14940198.0,2.754605386506345e-05,0
