# Point,Index,Time,Diss,Freq,Notes
start,4422,0.0,0.0,0.0,
fill,5090,2.4794,-1.1175,146.0,
20%,5377,3.5427,13.8363,157.0,
40%,9381,18.3964,22.6925,190.0,
60%,10987,24.3532,34.8531,195.0,Not Analyzed
80%,12940,31.6022,43.1317,169.0,
ch1,24645,104.2181,53.8181,159.0,
ch2,27419,310.0308,91.7584,210.0,Not Analyzed
ch3,27419,310.0308,91.7584,210.0,Not Analyzed
