# shear_rate,viscosity_raw,viscosity_avg
180.46,14.38,14.38
197.23,15.80,15.80
270.54,13.48,13.48
347.17,13.90,13.90
660.84,11.30,11.30
1303.31,11.82,11.82
2344.19,14.68,14.68
2352.56,14.58,14.68
2357.27,14.60,14.68
2362.00,14.62,14.68
2369.04,14.62,14.68
2378.11,14.59,14.68
2382.97,14.61,14.68
2394.54,14.55,14.68
2397.53,14.60,14.68
2402.13,14.63,14.68
2414.38,14.57,14.68
2424.36,14.53,14.68
2434.05,14.50,14.68
2445.51,14.45,14.68
2452.91,14.45,14.68
2463.32,14.41,14.68
2469.19,14.43,14.68
2474.67,14.46,14.68
2485.38,14.42,14.68
2496.63,14.39,14.68
2497.03,14.47,14.68
2507.60,14.43,14.68
2520.95,14.37,14.68
2529.04,14.37,14.68
2537.73,14.36,14.68
2546.95,14.35,14.68
2553.45,14.37,14.68
2562.32,14.37,14.68
2576.05,14.31,14.68
2587.58,14.27,14.68
2593.95,14.30,14.68
2605.73,14.26,14.68
2607.28,14.34,14.68
2619.75,14.30,14.68
2653.92,14.03,14.68
2663.85,14.02,14.68
2648.87,14.28,14.68
2658.85,14.27,14.68
2665.76,14.30,14.68
2681.15,14.23,14.68
2691.41,14.23,14.68
2711.30,14.21,14.68
2721.99,14.20,14.68
2738.30,14.14,14.68
2746.45,14.16,14.68
2751.30,14.21,14.68
2759.54,14.23,14.68
2774.27,14.19,14.68
2782.15,14.22,14.68
2800.17,14.14,14.68
2808.29,14.17,14.68
2816.47,14.20,14.68
2832.11,14.15,14.68
2843.58,14.15,14.68
2859.02,14.10,14.68
2875.32,14.06,14.68
2887.95,14.05,14.68
2894.34,14.10,14.68
2903.32,14.13,14.68
2912.38,14.16,14.68
2929.65,14.11,14.68
2947.21,14.06,14.68
2949.05,14.16,14.68
2964.90,14.12,14.68
2987.32,14.04,14.68
2997.94,14.06,14.68
3007.22,14.09,14.68
3010.59,14.19,14.68
3017.69,14.26,14.68
3043.75,14.14,14.68
3075.12,13.97,14.68
3099.92,13.88,14.68
3107.98,13.94,14.68
3118.39,13.97,14.68
3145.59,13.86,14.68
3164.11,13.83,14.68
3179.62,13.83,14.68
3230.00,13.53,14.68
3250.00,13.50,14.68
3232.24,13.78,14.68
3227.41,13.96,14.68
3231.08,14.07,14.68
3277.22,13.82,14.68
3348.48,13.37,14.68
3342.38,13.56,14.68
3335.91,13.75,14.68
3377.99,13.56,14.68
3388.85,13.62,14.68
3386.48,13.78,14.68
3427.01,13.61,14.68
3434.06,13.70,14.68
3421.29,13.95,14.68
3458.63,13.96,14.68
3477.02,13.96,14.68
3499.08,13.95,14.68
3517.09,13.97,14.68
3540.78,13.95,14.68
3584.74,13.78,14.68
3596.45,13.86,14.68
3613.04,13.91,14.68
3651.64,13.79,14.68
3664.02,13.87,14.68
3689.86,13.86,14.68
3729.52,13.74,14.68
3749.08,13.78,14.68
3779.15,13.75,14.68
3808.48,13.72,14.68
3845.14,13.64,14.68
3889.53,13.52,14.68
3917.26,13.51,14.68
3948.74,13.49,14.68
3992.48,13.40,14.68
4003.73,13.53,14.68
4028.14,13.57,14.68
4095.48,13.32,14.68
4125.35,13.34,14.68
4185.39,13.16,14.68
4221.75,13.14,14.68
4215.95,13.40,14.68
4270.35,13.28,14.68
4312.39,13.24,14.68
4373.72,13.09,14.68
4424.46,13.02,14.68
4467.40,12.99,14.68
4534.56,12.84,14.68
4596.67,12.73,14.68
4602.54,12.94,14.68
4665.38,12.83,14.68
4718.19,12.80,14.68
4770.16,12.77,14.68
4834.20,12.67,14.68
4881.15,12.69,14.68
4888.37,12.93,14.68
4963.79,12.81,14.68
5045.43,12.68,14.68
5088.68,12.76,14.68
5156.07,12.71,14.68
5209.70,12.74,14.68
5303.97,12.60,14.68
5402.80,12.45,14.68
5534.11,12.17,14.68
5656.10,11.95,14.68
5744.63,11.90,14.68
5889.01,11.94,14.68
5946.41,12.04,14.68
5967.05,12.33,14.68
6106.68,12.15,14.68
6219.09,12.08,14.68
6337.74,12.02,14.68
6536.55,11.70,14.68
6687.10,11.58,14.68
6841.79,11.47,14.68
6983.12,11.43,14.68
7079.77,11.57,14.68
7302.74,11.33,14.68
7506.83,11.19,14.68
7666.40,11.21,14.68
7948.74,10.92,14.68
8099.73,11.05,14.68
8255.89,11.20,14.68
8488.60,11.18,14.68
8791.34,11.01,14.68
9139.91,10.82,14.68
9600.41,10.47,14.68
10081.15,10.20,14.68
10390.92,10.31,14.68
11184.05,9.68,14.68
11879.97,9.37,14.68
12526.47,9.24,14.68
13004.42,9.51,14.68
14025.78,9.19,14.68
15349.55,8.78,14.68
16464.51,8.93,14.68
17674.67,9.28,14.68
21068.14,8.14,14.68
28219.70,6.08,14.68
38154.42,5.03,14.68
54454.11,4.94,14.68
5000000.00,6.24,6.24
15000000.00,8.15,8.15
