# shear_rate,viscosity_raw,viscosity_avg
47.25,54.92,54.92
51.03,61.07,61.07
81.06,45.00,45.00
106.53,45.31,45.31
171.17,43.63,43.63
437.69,35.18,35.18
714.67,48.15,48.15
715.23,48.08,48.15
716.50,47.99,48.15
717.95,47.98,48.15
718.09,48.05,48.15
719.38,47.97,48.15
720.67,47.88,48.15
721.92,47.80,48.15
721.94,47.88,48.15
719.47,48.30,48.15
719.85,48.33,48.15
722.38,48.08,48.15
722.42,48.16,48.15
723.73,48.07,48.15
724.67,48.03,48.15
724.71,48.12,48.15
725.06,48.15,48.15
726.42,48.06,48.15
726.46,48.15,48.15
726.43,48.23,48.15
727.77,48.14,48.15
728.72,48.11,48.15
728.72,48.19,48.15
727.81,48.40,48.15
730.15,48.18,48.15
732.81,47.92,48.15
732.82,48.01,48.15
731.48,48.27,48.15
732.80,48.18,48.15
734.21,48.09,48.15
735.58,48.00,48.15
737.89,47.79,48.15
737.98,47.87,48.15
735.67,48.26,48.15
733.96,48.57,48.15
735.34,48.48,48.15
737.07,48.34,48.15
739.45,48.12,48.15
734.99,48.80,48.15
736.35,48.71,48.15
740.08,48.31,48.15
738.74,48.57,48.15
740.50,48.43,48.15
743.30,48.16,48.15
745.07,48.02,48.15
744.06,48.24,48.15
745.12,48.20,48.15
746.18,48.16,48.15
744.78,48.43,48.15
747.63,48.15,48.15
750.48,47.88,48.15
750.50,47.97,48.15
750.93,48.01,48.15
752.40,47.91,48.15
752.23,48.13,48.15
752.43,48.21,48.15
750.99,48.49,48.15
751.42,48.53,48.15
752.87,48.43,48.15
753.96,48.39,48.15
755.46,48.29,48.15
755.50,48.38,48.15
755.49,48.48,48.15
756.96,48.38,48.15
758.48,48.29,48.15
758.07,48.43,48.15
759.59,48.34,48.15
760.00,48.38,48.15
760.08,48.47,48.15
761.58,48.37,48.15
763.08,48.28,48.15
762.71,48.42,48.15
761.23,48.71,48.15
763.61,48.51,48.15
767.75,48.08,48.15
765.86,48.42,48.15
765.86,48.51,48.15
766.96,48.47,48.15
767.47,48.51,48.15
767.93,48.55,48.15
770.56,48.31,48.15
771.25,48.32,48.15
772.85,48.22,48.15
771.77,48.46,48.15
771.76,48.56,48.15
773.37,48.46,48.15
774.99,48.36,48.15
773.40,48.65,48.15
773.39,48.76,48.15
776.13,48.51,48.15
776.17,48.61,48.15
775.04,48.85,48.15
776.68,48.75,48.15
777.88,48.70,48.15
777.87,48.81,48.15
778.30,48.85,48.15
779.97,48.75,48.15
781.09,48.71,48.15
779.43,49.02,48.15
781.11,48.91,48.15
785.64,48.45,48.15
785.63,48.55,48.15
784.47,48.80,48.15
785.66,48.76,48.15
790.20,48.30,48.15
792.15,48.29,48.15
789.42,48.73,48.15
792.37,48.48,48.15
792.37,48.58,48.15
794.11,48.48,48.15
794.11,48.58,48.15
792.86,48.84,48.15
794.57,48.73,48.15
795.85,48.68,48.15
797.57,48.58,48.15
796.31,48.84,48.15
794.09,49.22,48.15
795.33,49.18,48.15
798.83,48.85,48.15
800.63,48.74,48.15
801.11,48.79,48.15
799.31,49.12,48.15
801.12,49.01,48.15
804.68,48.68,48.15
809.59,48.20,48.15
809.65,48.31,48.15
804.73,49.01,48.15
811.50,48.30,48.15
812.81,48.26,48.15
809.21,48.80,48.15
809.19,48.91,48.15
809.17,49.02,48.15
810.52,48.97,48.15
810.54,49.08,48.15
814.77,48.69,48.15
813.41,48.96,48.15
813.39,49.07,48.15
814.76,49.02,48.15
814.74,49.14,48.15
816.60,49.03,48.15
