# shear_rate,viscosity_raw,viscosity_avg
140.34,18.49,18.49
167.59,18.59,18.59
272.02,13.41,13.41
336.34,14.35,14.35
692.02,10.79,10.79
1451.24,10.61,10.61
2407.49,14.29,14.29
2409.78,14.27,14.29
2419.10,14.24,14.29
2424.49,14.26,14.29
2433.99,14.23,14.29
2445.73,14.17,14.29
2455.44,14.14,14.29
2461.11,14.16,14.29
2471.00,14.13,14.29
2481.01,14.10,14.29
2484.42,14.15,14.29
2494.59,14.12,14.29
2507.15,14.06,14.29
2512.78,14.08,14.29
2520.97,14.08,14.29
2533.90,14.02,14.29
2537.58,14.07,14.29
2548.39,14.04,14.29
2556.94,14.03,14.29
2555.41,14.13,14.29
2559.11,14.19,14.29
2572.72,14.13,14.29
2578.78,14.15,14.29
2587.65,14.14,14.29
2597.07,14.13,14.29
2605.88,14.13,14.29
2611.92,14.16,14.29
2618.25,14.18,14.29
2627.54,14.18,14.29
2636.92,14.17,14.29
2646.63,14.17,14.29
2658.67,14.13,14.29
2665.36,14.16,14.29
2675.16,14.15,14.29
2685.06,14.15,14.29
2691.95,14.17,14.29
2698.58,14.20,14.29
2708.45,14.20,14.29
2722.53,14.16,14.29
2739.20,14.09,14.29
2747.78,14.21,14.29
2752.30,14.27,14.29
2760.00,14.29,14.29
2771.20,14.28,14.29
2775.51,14.35,14.29
2779.17,14.42,14.29
2797.09,14.34,14.29
2808.45,14.34,14.29
2806.19,14.47,14.29
2803.63,14.61,14.29
2829.54,14.46,14.29
2837.74,14.50,14.29
2864.02,14.35,14.29
2873.01,14.37,14.29
2871.09,14.51,14.29
2886.01,14.48,14.29
2897.70,14.48,14.29
2913.65,14.45,14.29
2922.06,14.48,14.29
2923.09,14.59,14.29
2940.25,14.55,14.29
2953.03,14.55,14.29
2953.54,14.67,14.29
2941.58,14.92,14.29
2933.47,15.14,14.29
2978.26,14.82,14.29
3004.81,14.69,14.29
2987.99,14.99,14.29
2988.50,15.13,14.29
2997.43,15.18,14.29
3021.23,15.08,14.29
3019.42,15.24,14.29
3033.62,15.25,14.29
3047.20,15.26,14.29
3056.58,15.32,14.29
3082.27,15.21,14.29
3092.01,15.26,14.29
3101.81,15.32,14.29
3122.51,15.27,14.29
3144.48,15.22,14.29
3166.89,15.16,14.29
3170.10,15.29,14.29
3192.18,15.24,14.29
3210.62,15.23,14.29
3221.62,15.29,14.29
3244.80,15.23,14.29
3268.45,15.18,14.29
3292.58,15.13,14.29
3309.98,15.14,14.29
3334.23,15.09,14.29
3370.94,14.94,14.29
3397.91,15.04,14.29
3406.04,15.15,14.29
3440.53,15.03,14.29
3466.52,14.99,14.29
3486.85,15.00,14.29
3509.68,14.99,14.29
3517.82,15.11,14.29
3541.27,15.10,14.29
3571.93,15.04,14.29
3602.38,14.99,14.29
3618.21,15.06,14.29
3650.89,14.99,14.29
3667.36,15.06,14.29
3693.95,15.05,14.29
3730.21,14.98,14.29
3747.80,15.05,14.29
3782.60,14.99,14.29
3802.50,15.06,14.29
3821.03,15.14,14.29
3848.28,15.15,14.29
3896.48,15.01,14.29
3937.30,14.93,14.29
3958.07,15.01,14.29
3971.47,15.16,14.29
3982.76,15.32,14.29
4018.78,15.31,14.29
4029.97,15.49,14.29
4061.89,15.51,14.29
4108.95,15.43,14.29
4157.56,15.34,14.29
4194.82,15.36,14.29
4219.15,15.46,14.29
4271.89,15.37,14.29
4326.50,15.28,14.29
4355.77,15.38,14.29
4351.99,15.72,14.29
4380.84,15.85,14.29
4459.53,15.62,14.29
4458.62,15.96,14.29
4506.61,15.97,14.29
4572.02,15.87,14.29
4621.54,15.90,14.29
4708.89,15.68,14.29
4742.39,15.83,14.29
4776.13,16.00,14.29
4854.26,15.88,14.29
4989.53,15.43,14.29
5060.28,15.41,14.29
5130.88,15.41,14.29
5211.68,15.36,14.29
5317.14,15.19,14.29
5568.75,14.71,14.29
5614.51,14.92,14.29
5769.19,14.60,14.29
5851.85,14.68,14.29
5884.86,15.03,14.29
6008.43,14.95,14.29
6136.28,14.89,14.29
6296.69,14.71,14.29
6546.40,14.17,14.29
6837.53,13.57,14.29
6929.02,13.79,14.29
7068.97,13.88,14.29
7318.30,13.59,14.29
7554.64,13.44,14.29
7903.77,12.96,14.29
8105.74,13.04,14.29
8465.29,12.70,14.29
8722.06,12.77,14.29
8959.31,12.94,14.29
9633.52,12.07,14.29
9974.28,12.19,14.29
10496.12,12.00,14.29
11394.81,11.23,14.29
12097.78,11.06,14.29
12739.34,11.21,14.29
13781.91,10.94,14.29
14432.51,11.67,14.29
17455.76,9.57,14.29
21017.08,8.24,14.29
26049.27,7.13,14.29
36274.43,5.57,14.29
53748.91,5.07,14.29
5000000.00,15.31,15.31
15000000.00,8.32,8.32
