# shear_rate,viscosity_raw,viscosity_avg
2409.62,18.28,18.27
2417.77,18.30,18.27
2403.18,18.67,18.27
2411.19,18.69,18.27
2438.85,18.42,18.26
2458.79,18.27,18.25
2469.74,18.25,18.24
2478.52,18.27,18.24
2483.92,18.34,18.23
2501.39,18.23,18.22
2513.50,18.21,18.22
2500.95,18.55,18.22
2506.93,18.63,18.22
2528.25,18.47,18.21
2527.24,18.64,18.21
2549.71,18.48,18.20
2568.74,18.36,18.19
2588.10,18.25,18.18
2607.77,18.14,18.18
2579.49,18.70,18.18
2578.73,18.89,18.17
2598.78,18.77,18.17
2622.73,18.59,18.16
2622.08,18.78,18.16
2636.12,18.76,18.16
2687.46,18.22,18.13
2707.88,18.32,18.12
2704.44,18.55,18.12
2716.63,18.58,18.12
2711.18,18.84,18.12
2737.76,18.65,18.11
2765.63,18.47,18.10
2760.11,18.73,18.10
2788.79,18.54,18.08
2814.56,18.40,18.07
2845.25,18.20,18.06
2845.13,18.40,18.06
2853.16,18.50,18.06
2865.79,18.53,18.05
2879.45,18.57,18.04
2912.63,18.36,18.03
2905.54,18.65,18.03
2973.70,18.01,18.01
2968.92,18.28,18.00
2947.79,18.77,18.00
3004.89,18.28,17.99
3034.82,18.13,17.98
3029.39,18.43,17.98
3045.56,18.46,17.97
3083.62,18.24,17.96
3122.64,18.01,17.94
3116.00,18.32,17.94
3133.65,18.35,17.94
3150.47,18.40,17.93
3168.69,18.43,17.92
3180.84,18.55,17.92
3199.54,18.59,17.91
3224.00,18.56,17.90
3243.47,18.61,17.89
3310.65,18.11,17.87
3330.62,18.16,17.86
3323.25,18.51,17.86
3393.69,18.01,17.84
3386.43,18.37,17.84
3438.64,18.09,17.82
3461.04,18.14,17.81
3485.35,18.18,17.81
3473.72,18.59,17.80
3499.64,18.63,17.80
3559.77,18.32,17.78
3620.32,18.01,17.75
3682.97,17.70,17.74
3673.29,18.11,17.73
3700.62,18.16,17.73
3768.17,17.84,17.71
3748.61,18.37,17.71
3736.75,18.85,17.70
3845.34,18.53,17.68
3929.21,18.13,17.66
3916.87,18.63,17.65
3999.26,18.25,17.63
4072.45,17.98,17.61
4177.38,17.47,17.58
4271.22,17.09,17.55
4304.02,17.23,17.54
4351.65,17.26,17.53
4398.02,17.30,17.51
4448.84,17.34,17.50
4491.41,17.44,17.49
4551.69,17.44,17.47
4549.48,17.92,17.47
4610.04,17.94,17.45
4793.40,17.07,17.41
4864.45,17.06,17.39
4943.01,17.03,17.37
4950.08,17.52,17.37
4948.10,18.09,17.37
5199.32,16.94,17.31
5290.45,16.92,17.29
5391.30,16.89,17.26
5589.00,16.29,17.22
5875.21,15.30,17.16
6011.36,15.21,17.13
6043.88,15.69,17.12
6183.39,15.63,17.10
6461.72,14.96,17.04
6489.23,15.53,17.04
6819.34,14.78,16.98
7174.71,14.05,16.92
7399.07,13.94,16.88
7605.54,13.98,16.85
7661.04,14.65,16.84
7936.60,14.58,16.80
8678.83,13.03,16.69
9358.82,12.09,16.62
9241.28,13.42,16.60
10097.79,12.28,16.58
10232.76,13.18,16.51
9572.77,16.72,16.50
10797.57,14.83,16.44
12186.79,13.30,16.30
16166.45,8.81,15.97
19160.49,7.56,15.89
20434.02,8.31,15.78
17478.88,15.14,15.71
26218.31,10.09,15.44
63916.36,3.40,14.50
5000000.00,33.30,33.30
15000000.00,18.58,18.58
