# shear_rate,viscosity_raw,viscosity_avg
188.60,13.76,13.76
211.85,14.71,14.71
312.39,11.68,11.68
402.12,12.00,12.00
844.35,8.84,8.84
1905.86,8.08,8.08
4423.12,7.78,7.78
4421.89,7.78,7.78
4449.69,7.77,7.78
4464.47,7.80,7.78
4484.04,7.82,7.78
4508.79,7.82,7.78
4528.91,7.83,7.78
4540.49,7.88,7.78
4564.03,7.89,7.78
4568.84,7.97,7.77
4589.61,7.99,7.77
4641.64,7.90,7.77
4650.76,7.96,7.77
4675.78,7.97,7.77
4718.87,7.93,7.77
4749.59,7.92,7.77
4753.22,8.00,7.77
4790.81,7.98,7.77
4835.47,7.93,7.77
4849.12,7.99,7.76
4860.81,8.06,7.76
4894.46,8.05,7.76
4937.46,8.02,7.76
4979.64,7.99,7.76
5008.75,8.01,7.76
5030.73,8.06,7.76
5065.64,8.06,7.76
5101.72,8.06,7.76
5144.84,8.04,7.75
5216.58,7.94,7.75
5306.65,7.90,7.75
5318.00,7.98,7.75
5379.16,7.93,7.75
5404.36,7.98,7.75
5423.14,8.06,7.75
5472.51,8.05,7.74
5520.65,8.04,7.74
5570.08,8.03,7.74
5597.51,8.09,7.74
5635.30,8.13,7.74
5701.34,8.09,7.74
5758.82,8.08,7.73
5788.87,8.14,7.73
5846.00,8.14,7.73
5913.44,8.10,7.73
5964.53,8.13,7.73
6030.48,8.12,7.73
6112.59,8.07,7.72
6144.97,8.15,7.72
6194.77,8.19,7.72
6264.96,8.19,7.72
6341.57,8.18,7.72
6421.06,8.17,7.72
6499.31,8.16,7.71
6541.80,8.25,7.71
6624.65,8.24,7.71
6710.73,8.24,7.71
6761.61,8.33,7.71
6812.69,8.44,7.71
6906.47,8.44,7.70
7004.23,8.44,7.70
7122.49,8.39,7.70
7229.86,8.39,7.70
7324.48,8.44,7.69
7448.05,8.43,7.69
7571.09,8.43,7.69
7634.11,8.57,7.69
7766.74,8.58,7.68
7906.53,8.58,7.68
8054.15,8.59,7.68
8219.46,8.59,7.67
8446.28,8.48,7.67
8627.01,8.48,7.67
8761.84,8.59,7.66
8866.54,8.80,7.66
9306.92,8.39,7.65
9559.67,8.36,7.65
9882.88,8.28,7.64
10246.89,8.14,7.64
10670.08,7.98,7.63
11232.15,7.68,7.62
12113.25,7.59,7.61
12370.03,7.86,7.60
13244.25,7.48,7.59
14001.76,7.35,7.58
14383.80,7.73,7.58
15803.33,7.22,7.56
16784.90,7.34,7.55
18912.55,6.74,7.53
22078.84,5.90,7.51
24635.46,5.90,7.49
28353.42,5.97,7.47
38431.42,4.99,7.41
61128.65,3.89,7.34
5000000.00,4.71,4.71
15000000.00,10.05,10.05
