# shear_rate,viscosity_raw,viscosity_avg
205.15,12.65,12.65
231.22,13.48,13.48
310.76,11.74,11.74
404.03,11.95,11.95
750.11,9.95,9.95
2905.01,5.30,5.30
3981.24,8.64,8.64
3969.30,8.70,8.64
3993.70,8.68,8.64
4022.79,8.64,8.63
4053.53,8.60,8.62
4084.84,8.55,8.61
4107.50,8.55,8.61
4109.47,8.63,8.61
4154.05,8.54,8.60
4185.16,8.50,8.59
4196.05,8.55,8.58
4236.85,8.48,8.57
4274.79,8.43,8.56
4293.08,8.45,8.56
4302.42,8.51,8.56
4311.57,8.57,8.56
4354.58,8.50,8.54
4394.50,8.45,8.53
4424.12,8.44,8.53
4478.59,8.34,8.51
4499.78,8.36,8.51
4555.03,8.26,8.50
4577.45,8.29,8.49
4618.48,8.24,8.48
4679.06,8.14,8.47
4690.91,8.20,8.47
4704.26,8.26,8.46
4715.66,8.33,8.46
4760.70,8.29,8.45
4806.91,8.24,8.44
4859.65,8.18,8.43
4924.23,8.09,8.41
4987.22,8.00,8.40
5037.30,7.95,8.39
5055.21,8.02,8.39
5132.63,7.90,8.37
5220.10,7.75,8.35
5265.01,7.74,8.34
5300.81,7.76,8.34
5351.83,7.73,8.33
5401.85,7.71,8.32
5429.47,7.76,8.31
5511.17,7.66,8.30
5549.79,7.69,8.29
5578.18,7.75,8.28
5635.88,7.73,8.27
5818.48,7.45,8.24
5949.79,7.32,8.22
6020.68,7.29,8.21
6126.45,7.18,8.19
6398.94,6.85,8.14
6391.66,7.01,8.14
6457.40,7.02,8.13
6546.64,6.98,8.12
6651.73,6.90,8.10
6783.85,6.79,8.08
6903.24,6.71,8.07
7028.14,6.63,8.05
7115.92,6.63,8.04
7246.79,6.55,8.02
7389.16,6.46,8.00
7580.67,6.30,7.97
7713.02,6.24,7.96
7828.86,6.23,7.94
8085.21,6.01,7.91
8296.34,5.87,7.88
8350.62,5.98,7.88
8522.40,5.92,7.86
8677.87,5.90,7.84
8906.79,5.79,7.81
9044.78,5.81,7.80
9180.20,5.83,7.78
9406.86,5.77,7.76
9774.01,5.55,7.72
10136.20,5.37,7.69
10528.85,5.19,7.65
11007.25,4.96,7.61
11421.48,4.81,7.57
11675.04,4.83,7.55
12038.23,4.76,7.53
12568.49,4.60,7.48
13034.61,4.52,7.45
13570.03,4.42,7.41
14168.40,4.32,7.37
14517.51,4.38,7.35
15261.78,4.25,7.31
15532.61,4.42,7.29
16879.68,4.06,7.21
18199.58,3.83,7.15
18744.05,3.97,7.12
19792.70,3.97,7.07
22450.88,3.49,6.96
25789.27,3.02,6.84
27802.37,3.05,6.78
29936.04,3.19,6.72
35975.15,2.77,6.56
47766.75,2.14,6.33
94362.43,1.66,5.82
5000000.00,13.88,13.88
15000000.00,10.51,10.51
