Date,Time,Relative_time,Ambient,Temperature,Peak Magnitude (RAW),Resonance_Frequency,Dissipation,Class,Difference,Pooling
2024-02-23,09:48:12,0.5154,26.5,24.25,3427,15000502.0,2.136064541050373e-05,0,-596.0921613367095,2.1138860648556323e-09
2024-02-23,09:48:12,0.526,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,1.9792846385221986e-09
2024-02-23,09:48:12,0.5369,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,1.8505136373396934e-09
2024-02-23,09:48:12,0.5478,26.5,24.25,3426,15000499.0,2.139483756266366e-05,0,-593.6050513575567,1.7954604262723778e-09
2024-02-23,09:48:12,0.5586,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,1.8514401163949625e-09
2024-02-23,09:48:12,0.5692,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,1.981232340082019e-09
2024-02-23,09:48:12,0.5801,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.1168727234048496e-09
2024-02-23,09:48:12,0.5911,26.5,24.25,3427,15000500.0,2.136064541050373e-05,0,-594.0921613367095,2.2183285988753033e-09
2024-02-23,09:48:12,0.6018,26.5,24.25,3427,15000500.0,2.136064541050373e-05,0,-594.0921613367095,2.2782981201818037e-09
2024-02-23,09:48:12,0.6124,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.3049609700182805e-09
2024-02-23,09:48:12,0.6233,26.5,24.25,3428,15000495.0,2.13265079025198e-05,0,-588.5800909908694,2.3106805818372424e-09
2024-02-23,09:48:12,0.6341,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.3062115341435756e-09
2024-02-23,09:48:12,0.645,26.5,24.25,3427,15000495.0,2.136064541050373e-05,0,-589.0921613367095,2.2987424544146003e-09
2024-02-23,09:48:12,0.6558,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.2920502908542576e-09
2024-02-23,09:48:12,0.6667,26.5,24.25,3428,15000496.0,2.13265079025198e-05,0,-589.5800909908694,2.2874845314400356e-09
2024-02-23,09:48:12,0.6775,26.5,24.25,3427,15000499.0,2.136064541050373e-05,0,-593.0921613367095,2.285028461311783e-09
2024-02-23,09:48:12,0.6882,26.5,24.25,3427,15000498.0,2.136064541050373e-05,0,-592.0921613367095,2.2841058732296604e-09
