# shear_rate,viscosity_raw,viscosity_avg
297.04,8.74,8.74
331.55,9.40,9.40
443.78,8.22,8.22
534.41,9.03,9.03
821.46,9.09,9.09
1660.93,9.27,9.27
3727.11,9.23,9.23
3726.75,9.24,9.23
3741.01,9.25,9.23
3765.82,9.21,9.23
3793.68,9.15,9.23
3816.92,9.13,9.23
3842.09,9.09,9.23
3861.32,9.09,9.23
3868.17,9.14,9.23
3887.98,9.13,9.23
3918.45,9.08,9.23
3938.85,9.07,9.23
3952.87,9.10,9.23
3957.41,9.17,9.23
4000.64,9.06,9.23
4029.34,9.02,9.23
4038.44,9.08,9.23
4066.09,9.09,9.23
4074.02,9.19,9.23
4096.93,9.19,9.23
4126.35,9.16,9.23
4145.78,9.17,9.23
4157.20,9.22,9.23
4172.15,9.25,9.23
4224.74,9.13,9.23
4278.52,9.00,9.23
4286.77,9.07,9.23
4297.84,9.13,9.23
4265.48,9.38,9.23
4279.58,9.43,9.23
4311.44,9.41,9.23
4329.58,9.44,9.23
4347.88,9.48,9.23
4371.86,9.50,9.23
4389.05,9.54,9.23
4419.43,9.53,9.23
4474.52,9.43,9.23
4499.08,9.45,9.23
4513.54,9.51,9.23
4572.26,9.53,9.23
4612.14,9.49,9.23
4640.78,9.51,9.23
4655.55,9.59,9.23
4697.76,9.55,9.23
4711.83,9.63,9.23
4742.23,9.66,9.23
4780.67,9.65,9.23
4820.05,9.64,9.23
4872.73,9.58,9.23
4875.62,9.72,9.23
4930.44,9.66,9.23
4982.06,9.62,9.23
5048.75,9.52,9.23
5061.26,9.64,9.23
5101.41,9.66,9.23
5137.52,9.69,9.23
5186.47,9.68,9.23
5255.06,9.61,9.23
5297.37,9.63,9.23
5308.13,9.77,9.23
5382.15,9.69,9.23
5395.81,9.84,9.23
5476.95,9.75,9.23
5558.23,9.67,9.23
5605.02,9.70,9.23
5656.25,9.74,9.23
5695.86,9.82,9.23
5814.48,9.63,9.23
5960.25,9.59,9.23
5938.28,9.88,9.23
6043.06,9.78,9.23
6107.21,9.82,9.23
6190.01,9.81,9.23
6276.23,9.80,9.23
6348.11,9.85,9.23
6476.29,9.73,9.23
6535.93,9.84,9.23
6617.10,9.89,9.23
6722.80,9.88,9.23
6811.04,9.93,9.23
6994.51,9.73,9.23
7088.05,9.80,9.23
7165.72,9.93,9.23
7251.79,10.06,9.23
7354.19,10.15,9.23
7500.24,10.15,9.23
7705.76,10.02,9.23
7888.45,9.98,9.23
8086.81,9.93,9.23
8266.44,9.95,9.23
8421.56,10.07,9.23
8627.24,10.10,9.23
8847.91,10.14,9.23
9084.03,10.18,9.23
9551.08,9.79,9.23
10019.36,9.49,9.23
10358.41,9.51,9.23
10725.18,9.56,9.23
11030.11,9.79,9.23
11232.42,10.30,9.23
12216.99,9.56,9.23
13023.28,9.34,9.23
13460.75,9.84,9.23
14063.45,10.30,9.23
15553.30,9.83,9.23
16777.73,10.13,9.23
20779.52,8.31,9.23
22908.21,9.06,9.23
30814.69,7.41,9.23
55406.75,4.65,9.23
5000000.00,4.47,4.47
15000000.00,4.75,4.75
