# Point,Index,Time,Diss,Freq,Notes
start,2444,0.0,0.0,0.0,
fill,2461,0.0633,1.8845,127.0,
20%,2480,0.1341,12.5786,163.0,
40%,2504,0.2235,18.9967,182.0,
60%,2518,0.2754,28.1016,200.0,Not Analyzed
80%,2569,0.4635,33.8957,217.0,
ch1,2655,0.7828,41.7291,229.0,
ch2,3891,5.3622,77.5721,263.0,
ch3,5465,11.1944,106.5143,279.0,
