epoch,loss,lr,near_stop_accuracy,near_stop_loss,normalized_time_loss,normalized_time_mae,time_delta_loss,time_delta_mae,val_loss,val_near_stop_accuracy,val_near_stop_loss,val_normalized_time_loss,val_normalized_time_mae,val_time_delta_loss,val_time_delta_mae
0,68.29643249511719,1e-04,0.9898842573165894,0.028914811089634895,3.120426893234253,1.307329535484314,217.18836975097656,217.6874542236328,62.922035217285156,1.0,1.3056964007773786e-06,6.0018415451049805,1.919030785560608,189.7165985107422,190.21620178222656
1,45.83686828613281,1e-04,1.0,9.033310561790131e-06,2.2122271060943604,1.082987904548645,145.3982391357422,145.89686584472656,68.00924682617188,1.0,0.0,6.7219953536987305,2.043424129486084,204.27294921875,204.77256774902344
2,42.74081039428711,1e-04,1.0,1.5173061456152936e-06,1.9480043649673462,1.003110408782959,135.9580535888672,136.45681762695312,65.19219970703125,1.0,0.0,6.2030720710754395,1.9349747896194458,196.612548828125,197.11163330078125
3,41.765655517578125,1e-04,1.0,1.7396070006725495e-06,1.7501757144927979,0.9527777433395386,133.36618041992188,133.8650665283203,64.43553924560547,1.0,0.0,6.34544563293457,1.941791296005249,193.6152801513672,194.1146240234375
4,43.92879104614258,5e-05,1.0,5.794663024971669e-07,2.077972412109375,1.0508748292922974,139.4842529296875,139.9831085205078,64.14791107177734,1.0,5.7341445369729627e-08,5.866946697235107,1.8714215755462646,194.25164794921875,194.7506103515625
5,41.93793487548828,5e-05,1.0,4.603162153671292e-07,1.9480946063995361,1.0052975416183472,133.28131103515625,133.7800750732422,62.95844650268555,1.0,0.0,5.986184120178223,1.918091058731079,189.88894653320312,190.3878936767578
