,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,diss_1,diss_2,diss_3,diss_4,diss_5,diss_6,diss_7,diss_8,diss_9,diss_10
M24062511B_35CP_A1_3rd,0.0,0.01812992620473245,0.03228259840055346,0.0644962196397539,0.16294747646540433,0.30211456179941854,0.37164714372781404,0.5593412063384864,0.8059536041081563,1.0,0.0,0.0040774641312500345,0.2640649464588109,0.4130243304560972,0.4744420031703275,0.664697572640834,0.7127808561874295,0.7677444229867219,0.9376335013999263,0.9997956744291113
BSA350MGPBS_1_3rd,0.0,8.329793171235557e-05,0.00017492565659594673,0.06219975558006893,0.08270383896367853,0.12208977851079957,0.24536536257804717,0.38913640274311984,0.49670526930816306,0.6217333823601159,0.0,0.03132333029187369,0.008771321389899257,0.007887862706102327,0.27005114704526767,0.4158430873427236,0.5041070062926324,0.7540133874336896,0.8847539570907755,0.9747721158129821
MM231106W6_E1_80P_3rd,0.0,0.0002539890462388993,0.01886126525223562,0.0625689767206791,0.1653172155580539,0.24353165967014945,0.3184152372799191,0.5527633234660094,0.786701417181521,1.0,0.15260368830523444,0.004839465527911916,0.0,0.2978883489881326,0.38498007029095294,0.5487448215911388,0.6462807409042468,0.739942718829734,0.9023223686652012,1.0
MM231106W3_G6_80P_3rd,0.0,0.02203720351454681,0.04617391268036987,0.077701394758961,0.1630611084697858,0.2533965223190664,0.32059502000480805,0.502801031051447,0.7828832574639977,0.9369342982091416,0.0,0.007971213804240875,0.20853602873241606,0.3294566775031682,0.39073322152982015,0.5549312363418665,0.6341290837602022,0.7106000555731723,0.9137387744625296,0.9852942395210127
M13IGG200_511_NOKIMWIPE_3rd,0.0,0.0001760619637863723,0.09734722865311345,0.14252685884780286,0.22684800840084984,0.36988112371391746,0.4607529061188738,0.507006451637157,1.0,1.0,0.0,0.026454360020534987,0.0033402148687531937,0.32452197317992326,0.3618100553332963,0.5639782763098138,0.6300889981667458,0.6191008027685391,0.9992700280898,0.9992700280898
