ratio,n,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,slope,intercept,stderr
run,0,,,,,,,,,
r4,2675,-0.007155622427671933,0.7114395447610368,-0.012783645353692752,0.5086807718668562,-0.00933475799591127,0.46928289044115823,-0.05315261558843578,17.623195090962316,0.14367017665394485
r5,2675,-0.08019037391946221,3.2925413815389745e-05,-0.10633014591426415,3.5377032389056755e-08,-0.07302263809308562,1.5063521267189437e-08,-1.235696813856107,86.67202212320142,0.2970908904666563
r6,2675,-0.11826428969015496,8.496679799299783e-10,-0.15464171816053257,8.779497492883931e-16,-0.10700609106609013,1.083198422621657e-16,-3.9206503930874623,191.13199024601641,0.6367170124092411
