Image Path,Cluster Label
./image_data\channel_1_partial\DD230517_W1_XANTAN0.35_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_10CP_26c_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_10CP_2_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_18CP_3_3rd.jpg,0
./image_data\channel_1_partial\DD230517_W2_20P_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_3.2CP_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_3.2CP_3_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_48CP_3_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_75MM170MG_3rd.jpg,0
./image_data\channel_1_partial\DD230517_W2_800MM170MG_1_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_BGG170MG_3rd.jpg,2
./image_data\channel_1_partial\DD230517_W2_BGG200MG_3rd.jpg,0
./image_data\channel_1_partial\DD230517_W2_BSA480_1_3rd.jpg,0
./image_data\channel_1_partial\DD230517_W2_JA_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_%60GLYCEROL_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_135CP_3rd.jpg,0
./image_data\channel_1_partial\DD230609_W1_18CP_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_20P_1_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_48CP_2_3rd.jpg,0
./image_data\channel_1_partial\DD230609_W1_48CP_3rd.jpg,3
./image_data\channel_1_partial\DD230609_W1_BGG170_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_BGG200_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_BSA480MG_1_3rd.jpg,0
./image_data\channel_1_partial\DD230609_W1_BSA480MG_4_3rd.jpg,2
./image_data\channel_1_partial\DD230609_W1_BSA480_3_3rd.jpg,0
./image_data\channel_1_partial\DD230609_W1_BSAVHIGH_3rd.jpg,0
./image_data\channel_1_partial\DD231011W1_3.2CP_1_3rd.jpg,2
./image_data\channel_1_partial\DD231011W1_3.2CP_2_3rd.jpg,2
./image_data\channel_1_partial\DD231011W1_48CP_1_3rd.jpg,0
./image_data\channel_1_partial\DD231011W1_48CP_2_3rd.jpg,2
./image_data\channel_1_partial\DD231011W1_60PGLY_1_3rd.jpg,2
./image_data\channel_1_partial\DD231011W1_60P_2_3rd.jpg,2
./image_data\channel_1_partial\DD231011W1_BGG250_1_3rd.jpg,0
./image_data\channel_1_partial\DD24-501W1_40P_I6_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q1_B3_3RDBAD_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q1_C1_BAD_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q2_C7_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q2_C8_40P_3rd.jpg,0
./image_data\channel_1_partial\DD240108W1_Q3_I4_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q3_J4_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q3_J6_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q4_I10_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q4_K6_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108W1_Q4_K7_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q1BAD_80P_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q1BAD_90P_E2_3rd.jpg,3
./image_data\channel_1_partial\DD240108_Q1_F2_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q1_F3_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q1_F4_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q1_F5_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q2_80P_D9_3rd.jpg,0
./image_data\channel_1_partial\DD240108_Q2_90P_E9_3rd.jpg,3
./image_data\channel_1_partial\DD240108_Q2_F10_SPILL_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q2_F7_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q2_F8_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q2_F9_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_80P_K4_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_90P_M3_3rd.jpg,0
./image_data\channel_1_partial\DD240108_Q3_G1_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_G3_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_G4_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_G6_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q3_K5_90P_3rd.jpg,3
./image_data\channel_1_partial\DD240108_Q4_80P_M6_3rd.jpg,0
./image_data\channel_1_partial\DD240108_Q4_90P_L7_3rd.jpg,0
./image_data\channel_1_partial\DD240108_Q4_G7_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q4_G9_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q4_I7_3rd.jpg,2
./image_data\channel_1_partial\DD240108_Q4_I8_3rd.jpg,2
./image_data\channel_1_partial\DD240115W1_D6_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240124W1_Q3_95P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1Q2_90P_3rd.jpg,3
./image_data\channel_1_partial\DD240125W1_60P_25C_B6_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_60P_25C_F12_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_60P_25C_F9_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_A5_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_B2_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_B5_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_C5_OLDBSA367_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_C8_60P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_D4_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_D5_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_E10_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_E11_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_E12_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_E2_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_E6_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_E7_80P_3rd.jpg,3
./image_data\channel_1_partial\DD240125W1_F10_80P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_G3_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_I3_25C_60P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_J11_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_J2_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_J4_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_J6_25C_60P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_K10_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_K5_25C_60P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_K6_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_L2_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_L6_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240125W1_L7_80P_3rd.jpg,3
./image_data\channel_1_partial\DD240125W1_M1_80P_3rd.jpg,3
./image_data\channel_1_partial\DD240125W1_Q2_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125W1_Q3_90P_3rd.jpg,1
./image_data\channel_1_partial\DD240125_F7_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240125_G9_60P_3rd.jpg,2
./image_data\channel_1_partial\DD240125_M3_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_40P_E6_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_AZYAG_E_40P_J10_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_DCOKCOKIYI_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_DCOKIYI_80P_3rd.jpg,0
./image_data\channel_1_partial\DD240216W1_DCOKKOTU_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_DIYI1_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_DMID_40P_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_EAZ_40P_2_3rd.jpg,2
./image_data\channel_1_partial\DD240216W1_EAZ_60P_3rd.jpg,2
