run,poi,dk_from_poi1,d12
DD240108_Q4_I8_3rd,1,0.0,0.16779999999999973
DD240108_Q4_I8_3rd,2,0.16779999999999973,0.16779999999999973
DD240108_Q4_I8_3rd,3,0.2477999999999998,0.16779999999999973
DD240108_Q4_I8_3rd,4,3.0380999999999982,0.16779999999999973
DD240108_Q4_I8_3rd,5,16.420299999999997,0.16779999999999973
DD240108_Q4_I8_3rd,6,27.427499999999995,0.16779999999999973
M240913W2_1.6CP_E12_3rd,1,0.0,0.07279999999999998
M240913W2_1.6CP_E12_3rd,2,0.07279999999999998,0.07279999999999998
M240913W2_1.6CP_E12_3rd,3,0.14109999999999978,0.07279999999999998
M240913W2_1.6CP_E12_3rd,4,1.3922999999999996,0.07279999999999998
M240913W2_1.6CP_E12_3rd,5,7.6383,0.07279999999999998
M240913W2_1.6CP_E12_3rd,6,16.4086,0.07279999999999998
D250609W1_PREPACKAGETEST_2CP_3rd,1,0.0,0.08269999999999911
D250609W1_PREPACKAGETEST_2CP_3rd,2,0.08269999999999911,0.08269999999999911
D250609W1_PREPACKAGETEST_2CP_3rd,3,0.09629999999999939,0.08269999999999911
D250609W1_PREPACKAGETEST_2CP_3rd,4,1.6893999999999991,0.08269999999999911
D250609W1_PREPACKAGETEST_2CP_3rd,5,7.976800000000001,0.08269999999999911
D250609W1_PREPACKAGETEST_2CP_3rd,6,16.888399999999997,0.08269999999999911
M240913W5_5DAY_ETH_10CP_3rd,1,0.0,0.5625
M240913W5_5DAY_ETH_10CP_3rd,2,0.5625,0.5625
M240913W5_5DAY_ETH_10CP_3rd,3,0.5904000000000025,0.5625
M240913W5_5DAY_ETH_10CP_3rd,4,8.6951,0.5625
M240913W5_5DAY_ETH_10CP_3rd,5,44.0977,0.5625
M240913W5_5DAY_ETH_10CP_3rd,6,92.2115,0.5625
M240913W14_4CP_K1_3rd,1,0.0,0.2820999999999998
M240913W14_4CP_K1_3rd,2,0.2820999999999998,0.2820999999999998
M240913W14_4CP_K1_3rd,3,0.31479999999999997,0.2820999999999998
M240913W14_4CP_K1_3rd,4,5.041399999999999,0.2820999999999998
M240913W14_4CP_K1_3rd,5,18.9861,0.2820999999999998
M240913W14_4CP_K1_3rd,6,37.43,0.2820999999999998
MM230816W4_3.2CP_75MINWAIT_3rd,1,0.0,0.17130000000000223
MM230816W4_3.2CP_75MINWAIT_3rd,2,0.17130000000000223,0.17130000000000223
MM230816W4_3.2CP_75MINWAIT_3rd,3,0.17859999999999943,0.17130000000000223
MM230816W4_3.2CP_75MINWAIT_3rd,4,2.7601000000000013,0.17130000000000223
MM230816W4_3.2CP_75MINWAIT_3rd,5,12.39,0.17130000000000223
MM230816W4_3.2CP_75MINWAIT_3rd,6,25.846899999999998,0.17130000000000223
DD240409W1_PBS_1_3rd,1,0.0,0.0362000000000009
DD240409W1_PBS_1_3rd,2,0.0362000000000009,0.0362000000000009
DD240409W1_PBS_1_3rd,3,0.04980000000000118,0.0362000000000009
DD240409W1_PBS_1_3rd,4,0.5901000000000014,0.0362000000000009
DD240409W1_PBS_1_3rd,5,3.2020999999999997,0.0362000000000009
DD240409W1_PBS_1_3rd,6,7.530000000000001,0.0362000000000009
mAb-I_+_PS20_3rd,1,0.0,0.297600000000001
mAb-I_+_PS20_3rd,2,0.297600000000001,0.297600000000001
mAb-I_+_PS20_3rd,3,0.32670000000000066,0.297600000000001
mAb-I_+_PS20_3rd,4,5.089599999999999,0.297600000000001
mAb-I_+_PS20_3rd,5,23.7922,0.297600000000001
mAb-I_+_PS20_3rd,6,52.458299999999994,0.297600000000001
BSA_HSALTY182_2_3rd,1,0.0,0.24399999999999977
BSA_HSALTY182_2_3rd,2,0.24399999999999977,0.24399999999999977
BSA_HSALTY182_2_3rd,3,0.31650000000000134,0.24399999999999977
