ratio,n,mean,std,median,iqr,cv,ci95_low,ci95_high,skewness,kurtosis,mad,shapiro_p,jarque_bera_p,n_outliers,outlier_pct
run,0,,,,,,,,,,,,,0,0.0
r4,2675,17.597489037530785,14.673496409061343,16.881564650488986,4.397049152502651,0.8338403494820573,17.271502105123332,18.80729336978785,44.61138141001889,2189.1878732444457,2.2054989513084635,5.309781918537228e-77,0.0,30,1.1214953271028036
r5,2675,86.07440546839528,30.440099973603072,83.59032534246606,26.350424329844344,0.3536486811376239,85.06845162161939,87.45694875946414,11.264161854973501,314.80739222026966,13.200291512442746,3.4504576952935204e-59,0.0,25,0.9345794392523364
r6,2675,189.2358568690357,65.487871647786,182.23091881380634,60.58897963019575,0.3460648142022478,186.85605387955033,191.78900289481317,3.1674141959777526,27.527168573250066,30.13004510451313,7.07787170478379e-48,0.0,29,1.0841121495327102
