ratio,n,mean,std,median,iqr,cv,ci95_low,ci95_high
run,0,,,,,,,
r4,2675,17.59748903753078,14.673496409061341,16.881564650488986,4.397049152502651,0.8338403494820574,16.94179802619564,17.99118871152992
r5,2675,86.07440546839528,30.440099973603072,83.59032534246606,26.350424329844344,0.3536486811376239,84.85251174567274,87.16002491446909
r6,2675,189.23585686903567,65.48787164778598,182.23091881380634,60.58897963019575,0.3460648142022478,186.6782969525002,191.6631656000231
