ratio,slope,intercept,r,p_value,stderr
run,,,,,
r4,-0.05315261558843567,17.623195090962312,-0.007155622427671926,0.7114395447610349,0.14367017665394485
r5,-1.2356968138561069,86.67202212320142,-0.0801903739194622,3.292541381539111e-05,0.2970908904666565
r6,-3.920650393087464,191.1319902460164,-0.11826428969015498,8.496679799299461e-10,0.636717012409241
