# Point,Index,Time,Diss,Freq,Notes
start,2376,0.0,0.0,0.0,
fill,2407,0.1431,2.5499,191.0,
20%,2459,0.3813,26.3098,306.0,
40%,2493,0.5378,38.4677,350.0,Not Analyzed
60%,2539,0.7527,47.329,376.0,
80%,2602,1.0436,52.0833,405.0,
ch1,2806,1.9822,63.12,388.0,
ch2,3874,6.9066,115.8517,418.0,
ch3,5884,16.1728,155.2874,469.0,
