# Point,Index,Time,Diss,Freq,Notes
start,3561,0.0,0.0,0.0,
fill,3577,0.0736,3.625,259.0,
20%,3616,0.2517,49.2693,325.0,
40%,3629,0.3116,58.8977,341.0,Not Analyzed
60%,3649,0.4034,67.324,354.0,
80%,3681,0.5527,76.6368,369.0,
ch1,3756,0.8981,86.8849,379.0,
ch2,4695,5.2258,149.2186,505.0,
ch3,5777,10.2125,211.4316,618.0,
