# Point,Index,Time,Diss,Freq,Notes
start,1742,0.0,0.0,0.0,
fill,1772,0.1078,5.3846,263.0,
20%,1854,0.404,34.6175,383.0,
40%,1889,0.528,39.8252,406.0,Not Analyzed
60%,1930,0.6764,47.4699,421.0,
80%,1991,0.8984,52.5717,438.0,
ch1,2230,1.7588,60.2216,454.0,
ch2,4690,10.6345,136.8752,500.0,
ch3,8760,25.3184,202.6894,588.0,
