# Point,Index,Time,Diss,Freq,Notes
start,4249,0.0,0.0,0.0,
fill,4288,0.1745,2.9273,127.0,
20%,4326,0.3426,15.7622,153.0,
40%,4347,0.434,25.0043,166.0,Not Analyzed
60%,4364,0.513,37.3021,187.0,
80%,4474,1.003,43.1102,190.0,
ch1,4778,2.3435,52.291,199.0,
ch2,6731,10.9559,115.5763,272.0,
ch3,10161,26.1631,181.521,372.0,
